strategy,Round,mean_RT,se_RT
bonus_oriented,1,46.201399999999964,2.780050630360607
bonus_oriented,2,49.12024999999996,2.6942391044548515
bonus_oriented,3,52.749750000000084,3.624736054183869
bonus_oriented,4,49.37339999999997,2.7543104327580803
bonus_oriented,5,51.70664999999996,3.297316691585031
bonus_oriented,6,47.97040000000047,6.6030713425452525
bonus_oriented,7,55.72655000000025,5.406726781702109
bonus_oriented,8,53.71660000000027,4.9317450164592325
bonus_oriented,9,52.490500000000324,5.063747455923335
bonus_oriented,10,48.14425000000001,3.785896904701255
bonus_oriented,11,52.57590000000043,5.508600067597891
bonus_oriented,12,51.07225000000032,6.277266555585526
bonus_oriented,13,56.214550000000216,7.280693237118927
bonus_oriented,14,55.68385000000005,5.687942538607472
bonus_oriented,15,72.75992857142855,27.8645977400337
payoff_oriented,1,15.872199999999989,1.2274704961616658
payoff_oriented,2,15.335399999999987,1.0896781717070114
payoff_oriented,3,18.010249999999985,2.555627876168077
payoff_oriented,4,16.07959999999999,1.2789834252660435
payoff_oriented,5,16.143649999999987,1.7765688149010563
payoff_oriented,6,18.540949999999984,2.322146635601816
payoff_oriented,7,15.457399999999987,0.9484150140879082
payoff_oriented,8,15.42994999999999,1.1398702407107104
payoff_oriented,9,48.33639999999871,28.344388665352245
payoff_oriented,10,14.85349999999999,1.3997053421119887
payoff_oriented,11,17.671699999999987,3.3118949640889697
payoff_oriented,12,15.997249999999987,1.312390991713817
payoff_oriented,13,20.996200000000414,6.40497951375212
payoff_oriented,14,16.921400000000137,4.252999442746408
payoff_oriented,15,15.551949999999987,1.7293454701509394
payoff_oriented,16,14.557649999999988,1.2710567449236037
payoff_oriented,17,13.877499999999989,0.8361172137314471
payoff_oriented,18,16.700444444444432,1.8229598664411246
payoff_oriented,19,16.004874999999988,2.0587151694584485
