strategy,thres_schema,thres_item_final,rep,mean_AC,mean_RT,mean_performance
baseline,30,15,1,0.5277777777777778,25.884333333333416,33.638888888888886
baseline,30,15,2,0.29166666666666663,26.118166666666646,25.97222222222222
baseline,30,15,3,0.41176470588235303,28.255558823529388,33.411764705882355
baseline,30,15,4,0.18055555555555552,25.716583333333315,20.36111111111111
baseline,30,15,5,0.4264705882352941,36.472617647059195,35.79411764705882
baseline,30,15,6,0.2941176470588235,26.73594117647057,23.823529411764707
baseline,30,15,7,0.3235294117647059,29.683676470588214,25.411764705882355
baseline,30,15,8,0.3382352941176471,26.97635294117645,29.794117647058822
baseline,30,15,9,0.27941176470588236,30.09273529411779,24.61764705882353
baseline,30,15,10,0.5294117647058824,28.949882352941152,37.05882352941177
bonus_oriented,40,40,1,0.23214285714285712,55.24203571428591,24.321428571428573
bonus_oriented,40,40,2,0.43333333333333335,51.46366666666697,33.666666666666664
bonus_oriented,40,40,3,0.44642857142857145,58.346500000000205,30.857142857142858
bonus_oriented,40,40,4,0.41666666666666663,45.83743333333343,28.7
bonus_oriented,40,40,5,0.25,49.946800000000344,25.8
bonus_oriented,40,40,6,0.43333333333333335,58.78366666666661,33.166666666666664
bonus_oriented,40,40,7,0.43333333333333335,48.85286666666665,29.266666666666666
bonus_oriented,40,40,8,0.23214285714285712,61.3986785714289,24.357142857142858
bonus_oriented,40,40,9,0.44999999999999996,46.925266666666786,29.56666666666667
bonus_oriented,40,40,10,0.45,50.65440000000004,32.46666666666667
bonus_oriented,40,45,1,0.46428571428571425,51.70403571428584,29.178571428571427
bonus_oriented,40,45,2,0.5535714285714286,56.17664285714328,39.42857142857143
bonus_oriented,40,45,3,0.38333333333333336,55.08706666666734,26.5
bonus_oriented,40,45,4,0.4642857142857143,60.50764285714335,36.25
bonus_oriented,40,45,5,0.17857142857142855,55.12439285714294,20.964285714285715
bonus_oriented,40,45,6,0.32142857142857145,51.84782142857139,26
bonus_oriented,40,45,7,0.4833333333333333,50.715400000000145,32.36666666666667
bonus_oriented,40,45,8,0.3928571428571429,61.392142857143355,30.285714285714285
bonus_oriented,40,45,9,0.32142857142857145,57.76700000000026,25.071428571428573
bonus_oriented,40,45,10,0.35416666666666663,87.37233333333981,29
bonus_oriented,40,50,1,0.5769230769230769,63.63942307692226,38.03846153846154
bonus_oriented,40,50,2,0.43333333333333324,50.148099999999964,28.899999999999995
bonus_oriented,40,50,3,0.5961538461538461,64.57788461538505,37.38461538461539
bonus_oriented,40,50,4,0.3928571428571429,56.614535714286234,26.75
bonus_oriented,40,50,5,0.4821428571428571,60.973857142857845,34.892857142857146
bonus_oriented,40,50,6,0.4423076923076923,66.89353846153945,30.115384615384617
bonus_oriented,40,50,7,0.4821428571428571,59.91725000000014,34.42857142857143
bonus_oriented,40,50,8,0.5357142857142858,52.826000000000015,31.214285714285715
bonus_oriented,40,50,9,0.32142857142857145,60.085000000000264,28.357142857142854
bonus_oriented,40,50,10,0.5192307692307693,69.24673076922933,35.5
bonus_oriented,45,40,1,0.30357142857142855,53.82814285714325,28.178571428571427
bonus_oriented,45,40,2,0.6,44.89803333333334,41.3
bonus_oriented,45,40,3,0.55,46.65686666666663,39.13333333333334
bonus_oriented,45,40,4,0.4666666666666667,50.82926666666674,32.2
bonus_oriented,45,40,5,0.21666666666666667,48.54989999999999,22.9
bonus_oriented,45,40,6,0.44642857142857145,55.40325000000035,36.464285714285715
bonus_oriented,45,40,7,0.4000000000000001,46.3925333333333,30.9
bonus_oriented,45,40,8,0.44642857142857145,51.97635714285725,34.142857142857146
bonus_oriented,45,40,9,0.2678571428571429,54.170178571428686,25.071428571428573
bonus_oriented,45,40,10,0.46428571428571425,53.79764285714325,33.464285714285715
bonus_oriented,45,45,1,0.36666666666666664,50.98176666666663,31.133333333333336
bonus_oriented,45,45,2,0.2678571428571429,61.83221428571539,26.035714285714285
bonus_oriented,45,45,3,0.6071428571428571,58.466321428571995,41.57142857142857
bonus_oriented,45,45,4,0.4807692307692307,64.60603846153963,36.23076923076923
bonus_oriented,45,45,5,0.5,55.53396428571489,35.78571428571429
bonus_oriented,45,45,6,0.38461538461538464,62.41003846153841,28.692307692307693
bonus_oriented,45,45,7,0.33333333333333337,50.26196666666678,28.866666666666664
bonus_oriented,45,45,8,0.375,57.75610714285734,27.21428571428571
bonus_oriented,45,45,9,0.4107142857142857,58.95432142857199,28.678571428571427
bonus_oriented,45,45,10,0.41666666666666663,50.59950000000002,29.233333333333334
bonus_oriented,45,50,1,0.30357142857142855,60.84750000000051,24.964285714285715
bonus_oriented,45,50,2,0.42857142857142855,57.64064285714322,33.57142857142857
