Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,thres_schema,thres_item_final,rep
1,7,14,1,2,10.979999999999992,19,57,50,58,57,54,25.19299999999998,2.683999999999998,5.306999999999996,4.025999999999997,20,10,15,9,109,12,28,13,4,1,48,4,5,Lc,0.23112844036697244,0.22366666666666665,0.18953571428571428,0.3096923076923076,bonus_oriented,40,40,1
1,8,15,1,1,4.452999999999997,9,20,18,20,30,27,66.00199999999995,0.183,0.061,0.122,20,1,1,1,262,1,1,1,3,0,22,5.5,5,Lc,0.25191603053435113,0.183,0.061,0.122,bonus_oriented,40,40,1
1,8,16,1,2,9.088999999999993,18,48,57,60,94,87,13.66399999999999,5.489999999999996,24.21699999999998,0.9759999999999995,20,12,17,4,60,22,109,4,4,0,14,3.5,5,Lc,0.22773333333333332,0.24954545454545451,0.22217431192660547,0.244,bonus_oriented,40,40,1
1,9,17,1,8,7.197999999999994,16,35,32,33,55,90,56.302999999999955,0.427,33.671999999999976,0.061,20,2,17,1,240,2,142,1,2,0,17,4.25,5,Lc,0.23459583333333328,0.2135,0.23712676056338025,0.061,bonus_oriented,40,40,1
1,9,18,1,1,7.136999999999994,19,44,14,78,101,75,66.12399999999995,0.366,0.427,1.9519999999999986,20,3,2,9,295,3,2,9,3,0,14,3.5,5,Lc,0.22414915254237286,0.122,0.2135,0.21688888888888885,bonus_oriented,40,40,1
1,10,19,1,7,6.8929999999999945,17,34,51,45,13,41,27.998999999999977,8.051999999999994,3.781999999999997,0.5489999999999999,20,15,13,3,120,23,16,3,6,0,20,5,5,Lc,0.23332499999999998,0.3500869565217391,0.23637499999999997,0.183,bonus_oriented,40,40,1
1,10,20,1,6,3.3549999999999973,9,16,4,8,10,86,25.68099999999998,1.2199999999999993,0.305,1.7079999999999989,20,7,3,7,105,7,3,8,6,0.5,39,5.25,5,Lc,0.24458095238095237,0.1742857142857143,0.10166666666666667,0.2135,bonus_oriented,40,40,1
1,11,21,1,8,1.9519999999999986,11,13,14,58,109,87,79.97100000000157,0.061,0.061,1.1589999999999994,20,1,1,1,332,1,1,1,2,0,15,3.75,5,Lc,0.24087650602409635,0.061,0.061,1.1589999999999994,bonus_oriented,40,40,1
1,11,22,1,9,5.306999999999996,11,24,64,65,71,99,6.7709999999999955,23.66799999999998,7.014999999999994,3.903999999999997,20,17,13,12,34,110,22,19,4,0.5,26,3.5,5,Lc,0.1991470588235294,0.21516363636363633,0.3188636363636363,0.2054736842105263,bonus_oriented,40,40,1
1,12,23,1,3,8.600999999999994,17,43,57,28,56,35,14.76199999999999,8.295999999999994,5.123999999999996,6.099999999999995,20,16,15,16,68,34,25,30,5,0,18,4.5,5,Lc,0.21708823529411764,0.24399999999999997,0.20496,0.2033333333333333,bonus_oriented,40,40,1
1,12,24,1,6,7.563999999999994,14,32,1,12,11,87,22.081999999999983,2.0129999999999986,1.2809999999999993,20.129999999999985,20,12,6,17,95,13,7,84,6,0.5,39,5.25,5,Lc,0.2324421052631579,0.15484615384615386,0.183,0.23964285714285713,bonus_oriented,40,40,1
1,13,25,1,3,4.818999999999996,14,25,106,14,101,95,65.14799999999995,106.44500000000485,0.061,0.061,20,19,1,1,267,476,1,1,5,0,13,3.25,5,Lc,0.24399999999999997,0.22362394957983192,0.061,0.061,bonus_oriented,40,40,1
1,13,26,1,8,12.19999999999999,19,61,116,39,44,117,27.205999999999978,2.805999999999998,5.428999999999996,0.122,20,14,14,2,113,16,22,2,2,0,14,3.5,5,Lc,0.24076106194690264,0.175375,0.24677272727272725,0.061,bonus_oriented,40,40,1
1,14,27,1,8,5.550999999999996,14,28,118,113,115,120,43.919999999999966,2.500999999999998,0.6099999999999999,17.079999999999988,20,7,3,15,175,7,3,71,2,1,24,2,5,Lc,0.2509714285714285,0.3572857142857142,0.20333333333333334,0.2405633802816901,bonus_oriented,40,40,1
1,14,28,1,7,6.587999999999995,15,29,16,14,17,18,10.491999999999992,7.441999999999994,21.471999999999984,1.524999999999999,20,14,17,7,45,24,79,7,6,1,72,6,5,Lc,0.23315555555555553,0.3100833333333333,0.27179746835443036,0.21785714285714278,bonus_oriented,40,40,1
1,1,1,0,9,7.380999999999994,15,42,67,70,1,4,24.70499999999998,11.223999999999991,22.569999999999983,0.366,20,16,18,2,125,48,91,3,4,0,20,5,5,Lc,0.19763999999999998,0.2338333333333333,0.24802197802197798,0.122,bonus_oriented,40,40,2
1,1,2,0,5,10.308999999999992,16,39,41,40,106,100,14.33499999999999,18.665999999999986,4.635999999999997,0.7929999999999997,20,18,16,2,56,71,22,2,5,0,14,3.5,5,Lc,0.2559821428571428,0.2629014084507042,0.2107272727272727,0.3964999999999999,bonus_oriented,40,40,2
1,2,3,0,9,10.918999999999992,19,49,68,69,61,63,21.593999999999983,5.7949999999999955,13.23699999999999,2.1349999999999985,20,13,16,9,87,25,50,11,4,1,48,4,5,Lc,0.24820689655172412,0.23179999999999998,0.26474,0.1940909090909091,bonus_oriented,40,40,2
1,2,4,0,8,6.465999999999995,12,32,119,114,118,58,17.811999999999987,13.23699999999999,8.112999999999994,6.282999999999995,20,18,18,13,79,40,36,19,2,0.5,16,2.5,5,Lc,0.2254683544303797,0.33092499999999997,0.2253611111111111,0.33068421052631575,bonus_oriented,40,40,2
1,3,5,0,10,2.3789999999999982,10,16,1,53,99,106,87.77900000000243,0.061,0.061,0.061,20,1,1,1,365,1,1,1,3,0,14,3.5,5,Lc,0.24049041095890408,0.061,0.061,0.061,bonus_oriented,40,40,2
1,3,6,0,8,5.245999999999996,14,22,18,19,24,117,46.298999999999964,24.27799999999998,0.122,0.061,20,19,1,1,207,104,1,1,2,0.5,38,5,5,Lc,0.22366666666666665,0.23344230769230767,0.122,0.061,bonus_oriented,40,40,2
1,4,7,0,5,11.162999999999991,11,52,38,37,24,21,18.726999999999986,14.090999999999989,6.8319999999999945,30.682999999999975,20,19,15,17,88,65,25,110,5,0,22,5.5,5,Lc,0.21280681818181815,0.21678461538461538,0.2732799999999999,0.2789363636363636,bonus_oriented,40,40,2
1,4,8,0,3,9.027999999999993,15,47,26,28,30,34,21.227999999999984,0.305,15.127999999999988,7.8689999999999936,20,2,15,16,84,2,51,35,5,1,60,5,5,Lc,0.2527142857142857,0.1525,0.2966274509803921,0.2248285714285714,bonus_oriented,40,40,2
1,5,9,1,1,7.9299999999999935,16,34,38,82,74,43,40.74799999999997,1.2809999999999993,0.366,16.469999999999988,20,5,3,15,183,6,3,62,3,0,16,4,5,Lc,0.22266666666666665,0.2135,0.122,0.26564516129032256,bonus_oriented,40,40,2
1,5,10,1,3,3.0499999999999976,10,17,15,28,30,27,55.204999999999956,0.061,1.3419999999999992,0.061,20,1,6,1,225,1,7,1,5,0.5,36,5.25,5,Lc,0.24535555555555552,0.061,0.1917142857142857,0.061,bonus_oriented,40,40,2
1,6,11,1,8,7.014999999999994,15,36,117,113,119,51,15.676999999999989,3.1719999999999975,0.8539999999999996,13.907999999999989,20,11,4,15,81,19,5,51,2,0.5,16,2.5,5,Lc,0.1935432098765432,0.16694736842105262,0.1708,0.27270588235294113,bonus_oriented,40,40,2
1,6,12,1,6,5.855999999999995,12,28,5,10,11,6,20.922999999999984,2.3179999999999983,1.1589999999999994,1.3419999999999992,20,6,9,8,83,6,9,9,6,1,72,6,5,Lc,0.25208433734939756,0.3863333333333332,0.12877777777777777,0.14911111111111108,bonus_oriented,40,40,2
1,7,13,1,5,6.465999999999995,16,33,48,44,46,79,23.66799999999998,4.330999999999997,1.7689999999999988,1.524999999999999,20,15,6,6,103,20,7,8,5,0.5,33,4.5,5,Lc,0.22978640776699027,0.21655,0.25271428571428567,0.190625,bonus_oriented,40,40,2
1,7,14,1,6,6.404999999999995,14,28,8,11,3,2,13.17599999999999,14.883999999999988,5.428999999999996,21.349999999999984,20,18,12,16,54,57,18,76,6,1,72,6,5,Lc,0.24399999999999997,0.2611228070175438,0.3016111111111111,0.2809210526315789,bonus_oriented,40,40,2
1,8,15,1,3,8.112999999999994,10,35,28,31,84,83,23.179999999999982,0.7929999999999997,1.646999999999999,10.979999999999992,20,4,1,14,92,4,2,41,5,0,16,4,5,Lc,0.2519565217391304,0.19824999999999998,0.8234999999999997,0.26780487804878045,bonus_oriented,40,40,2
1,8,16,1,6,6.160999999999995,7,25,5,3,8,86,14.151999999999989,33.732999999999976,2.0739999999999985,0.7929999999999997,20,17,7,3,59,117,9,3,6,0.5,39,5.25,5,Lc,0.23986440677966098,0.2883162393162393,0.23044444444444445,0.2643333333333333,bonus_oriented,40,40,2
1,9,17,1,5,4.086999999999997,8,11,39,47,45,44,14.94499999999999,6.648999999999995,8.783999999999994,5.245999999999996,20,14,14,13,50,26,36,29,5,1,60,5,5,Lc,0.29889999999999994,0.2557307692307692,0.24399999999999997,0.18089655172413793,bonus_oriented,40,40,2
1,9,18,1,2,8.295999999999994,14,39,49,107,73,56,32.14699999999998,1.3419999999999992,0.061,0.061,20,5,1,1,127,5,1,1,4,0,13,3.25,5,Lc,0.25312598425196847,0.26839999999999997,0.061,0.061,bonus_oriented,40,40,2
1,10,19,1,6,5.184999999999996,6,17,5,9,7,6,11.101999999999991,7.075999999999994,5.245999999999996,22.325999999999983,20,14,9,17,47,26,13,95,6,1,72,6,5,Lc,0.23621276595744675,0.27215384615384614,0.40353846153846146,0.23501052631578945,bonus_oriented,40,40,2
1,10,20,1,7,4.025999999999997,11,21,21,14,65,16,9.088999999999993,11.101999999999991,5.062999999999996,0.7319999999999998,20,18,14,3,38,50,26,3,6,0.5,40,5.5,5,Lc,0.23918421052631578,0.22204,0.19473076923076924,0.244,bonus_oriented,40,40,2
1,11,21,1,5,6.221999999999995,16,32,48,46,89,92,9.271999999999993,13.663999999999989,22.203999999999983,2.1959999999999984,20,18,18,7,47,61,107,8,5,0,16,4,5,Lc,0.19727659574468084,0.22399999999999998,0.20751401869158878,0.27449999999999997,bonus_oriented,40,40,2
1,11,22,1,6,7.502999999999994,11,35,12,5,100,1,12.32199999999999,9.332999999999993,10.125999999999992,5.611999999999996,20,16,16,13,59,39,47,25,6,0.5,38,5,5,Lc,0.20884745762711862,0.2393076923076923,0.2154468085106383,0.22447999999999999,bonus_oriented,40,40,2
1,12,23,1,8,3.3549999999999973,11,16,14,15,85,111,128.10000000000696,35.867999999999974,0.061,0.061,20,19,1,1,527,153,1,1,2,0,17,4.25,5,Lc,0.2430740037950664,0.23443137254901958,0.061,0.061,bonus_oriented,40,40,2
1,12,24,1,1,12.93199999999999,19,72,75,103,108,81,16.652999999999988,18.665999999999986,5.062999999999996,7.624999999999994,20,16,9,14,87,70,18,26,3,0,10,2.5,5,Lc,0.19141379310344828,0.2666571428571428,0.28127777777777774,0.29326923076923067,bonus_oriented,40,40,2
1,13,25,1,6,7.8689999999999936,13,37,6,4,59,12,18.421999999999986,38.85699999999997,0.244,1.0369999999999995,20,18,2,4,79,147,2,4,6,0.5,40,5.5,5,Lc,0.2331898734177215,0.2643333333333333,0.122,0.25925,bonus_oriented,40,40,2
1,13,26,1,7,8.234999999999994,15,45,18,23,14,21,12.382999999999992,11.650999999999991,22.691999999999982,3.476999999999997,20,18,18,12,57,56,101,18,6,1,72,6,5,Lc,0.2172456140350877,0.20805357142857142,0.22467326732673265,0.19316666666666665,bonus_oriented,40,40,2
1,14,27,1,3,7.563999999999994,13,36,28,36,82,26,24.70499999999998,2.439999999999998,2.1959999999999984,1.0979999999999994,20,8,9,6,94,10,12,6,5,0.5,33,4.5,5,Lc,0.2628191489361702,0.244,0.183,0.183,bonus_oriented,40,40,2
1,14,28,1,5,7.563999999999994,9,24,48,43,107,40,8.905999999999993,18.116999999999987,2.683999999999998,0.183,14,19,10,2,29,72,13,2,5,0.5,32,4.25,5,Lc,0.307103448275862,0.251625,0.20646153846153845,0.0915,bonus_oriented,40,40,2
1,15,29,1,8,9.515999999999993,14,48,116,115,111,25,14.39599999999999,10.552999999999992,24.88799999999998,0.488,20,16,18,4,72,46,109,4,2,0.5,17,2.75,5,Lc,0.19994444444444442,0.22941304347826083,0.22833027522935778,0.122,bonus_oriented,40,40,2
1,15,30,1,2,3.9649999999999967,10,19,107,17,60,23,72.34600000000046,6.709999999999995,0.061,0.122,20,18,1,1,297,32,1,1,4,0,18,4.5,5,Lc,0.24358922558922558,0.20968749999999997,0.061,0.122,bonus_oriented,40,40,2
1,1,1,0,5,6.221999999999995,11,22,39,54,46,47,14.39599999999999,15.737999999999987,1.2199999999999993,0.6709999999999998,20,18,4,3,45,78,4,3,5,0.5,34,4.75,6,Lc,0.3199111111111111,0.20176923076923076,0.305,0.22366666666666665,bonus_oriented,40,40,3
1,1,2,0,9,10.369999999999992,17,59,65,72,64,66,29.70699999999998,1.8909999999999987,0.8539999999999996,2.0129999999999986,20,7,2,9,135,9,2,13,4,1,48,4,6,Lc,0.22005185185185183,0.2101111111111111,0.42699999999999994,0.15484615384615386,bonus_oriented,40,40,3
1,2,3,0,9,7.9299999999999935,18,39,72,63,69,31,17.750999999999987,8.417999999999994,10.979999999999992,3.1109999999999975,20,16,16,10,74,36,45,15,4,0.5,29,4.25,6,Lc,0.23987837837837833,0.23383333333333328,0.244,0.2074,bonus_oriented,40,40,3
1,2,4,0,5,12.80999999999999,18,65,40,55,45,51,19.580999999999985,12.68799999999999,0.7319999999999998,3.537999999999997,20,15,5,9,90,47,5,11,5,0,18,4.5,6,Lc,0.21756666666666663,0.2699574468085106,0.1464,0.32163636363636355,bonus_oriented,40,40,3
1,3,5,0,9,2.805999999999998,9,13,108,13,104,21,58.62099999999995,12.80999999999999,0.061,0.061,20,19,1,1,223,46,1,1,4,0,16,4,6,Lc,0.2628744394618834,0.2784782608695652,0.061,0.061,bonus_oriented,40,40,3
1,3,6,0,8,8.844999999999994,13,36,112,109,58,115,22.081999999999983,11.345999999999991,6.038999999999995,0.183,20,18,14,1,94,52,23,1,2,0.5,16,2.5,6,Lc,0.23491489361702125,0.21819230769230769,0.26256521739130434,0.183,bonus_oriented,40,40,3
1,4,7,0,8,6.953999999999994,14,34,113,117,111,92,27.02299999999998,0.061,1.9519999999999986,12.80999999999999,20,1,9,16,128,1,14,49,2,0.5,15,2.25,6,Lc,0.2111171875,0.061,0.13942857142857143,0.2614285714285714,bonus_oriented,40,40,3
1,4,8,0,7,7.502999999999994,15,37,16,24,23,20,36.78299999999997,0.9149999999999996,4.574999999999997,5.7949999999999955,20,6,14,14,170,6,22,23,6,1,72,6,6,Lc,0.2163705882352941,0.1525,0.20795454545454545,0.2519565217391304,bonus_oriented,40,40,3
1,5,9,0,9,4.452999999999997,11,19,67,68,12,65,31.658999999999974,0.427,30.804999999999975,0.488,20,4,18,2,125,4,126,2,4,0.5,30,4.5,6,Lc,0.253272,0.10675,0.24448412698412697,0.244,bonus_oriented,40,40,3
1,5,10,0,2,10.918999999999992,19,51,51,49,29,58,26.35199999999998,7.746999999999994,5.977999999999995,0.5489999999999999,20,17,14,3,121,32,26,3,4,0.5,29,4.25,6,Lc,0.21778512396694213,0.24209375,0.2299230769230769,0.183,bonus_oriented,40,40,3
