model,strategy,risk,n,perf_mean,perf_se,AC_mean,AC_se,RT_mean,RT_se
original,bonus_oriented,Lc,10,29.73456043956044,1.5466439207466007,0.40964285714285714,0.02722059238050881,59.55880908424929,2.4226686869669547
original,bonus_oriented,Hc,10,24.297307692307694,1.3895371429370498,0.40964285714285714,0.02722059238050881,59.55880908424929,2.4226686869669547
original,payoff_oriented,Lc,10,29.052222222222223,1.393354844577681,0.35583333333333333,0.029155494626931212,24.32988388888893,2.3807682283233094
original,payoff_oriented,Hc,10,22.983888888888888,1.3688776780244791,0.35583333333333333,0.029155494626931212,24.32988388888893,2.3807682283233094
adapted,bonus_oriented,Lc,10,29.758333333333333,1.5725364160468267,0.39437500000000003,0.030742651847826725,52.2709054464288,2.170454531913212
adapted,bonus_oriented,Hc,10,24.297307692307694,1.3895371429370498,0.40964285714285714,0.02722059238050881,59.55880908424929,2.4226686869669547
adapted,payoff_oriented,Lc,10,30.489576883384935,1.0990349055656772,0.391937564499484,0.0315145000359858,23.82299969900246,1.133928481265479
adapted,payoff_oriented,Hc,10,22.983888888888888,1.3688776780244791,0.35583333333333333,0.029155494626931212,24.32988388888893,2.3807682283233094
