Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,7,14,1,8,4.513999999999997,12,23,2,51,44,8,63.74499999999995,0.061,0.061,0.122,20,1,1,2,262,1,1,2,2,0,21,5.25,6,Lc,0.24330152671755723,0.061,0.061,0.061,0.1,20,15,30,3,1
1,8,15,1,3,10.674999999999992,20,56,28,27,30,10,16.713999999999988,0.122,2.0129999999999986,1.585999999999999,20,1,9,5,83,1,12,5,5,0.5,36,5.25,6,Lc,0.20137349397590362,0.122,0.16774999999999998,0.3171999999999999,0.1,20,15,30,3,1
1,8,16,1,9,10.796999999999992,19,62,95,66,63,67,13.54199999999999,0.366,0.9149999999999996,1.646999999999999,20,1,6,6,71,1,6,9,4,0.5,27,3.75,6,Lc,0.19073239436619718,0.366,0.1525,0.183,0.1,20,15,30,3,1
1,9,17,1,7,12.56599999999999,14,53,19,16,15,21,12.99299999999999,7.014999999999994,2.2569999999999983,4.452999999999997,16,17,10,13,55,33,11,21,6,1,72,6,6,Lc,0.2362363636363636,0.21257575757575756,0.2051818181818182,0.21204761904761904,0.1,20,15,30,3,1
1,9,18,1,3,8.112999999999994,14,35,31,92,25,35,10.613999999999992,1.7689999999999988,0.183,5.489999999999996,20,8,3,16,48,11,3,27,5,0.5,33,4.5,6,Lc,0.22112499999999996,0.1608181818181818,0.061,0.20333333333333334,0.1,20,15,30,3,1
1,10,19,1,5,10.430999999999992,18,48,48,47,94,46,12.26099999999999,6.343999999999995,1.3419999999999992,3.2329999999999974,20,15,4,10,56,28,4,16,5,0.5,33,4.5,6,Lc,0.21894642857142857,0.22657142857142856,0.33549999999999996,0.2020625,0.1,20,15,30,3,1
1,10,20,1,4,9.820999999999993,15,49,104,98,97,1,9.881999999999993,6.709999999999995,2.500999999999998,1.524999999999999,16,15,8,5,50,32,10,6,2,0.5,18,3,6,Lc,0.19764,0.2096875,0.2501,0.25416666666666665,0.1,20,15,30,3,1
1,11,21,1,3,5.977999999999995,14,31,27,104,29,79,9.271999999999993,2.683999999999998,2.805999999999998,12.93199999999999,20,10,8,17,41,12,8,62,5,0,15,3.75,6,Lc,0.2261463414634146,0.22366666666666665,0.3507499999999999,0.2085806451612903,0.1,20,15,30,3,1
1,11,22,1,5,7.990999999999993,13,43,46,37,4,40,12.80999999999999,1.4029999999999991,4.940999999999996,1.0979999999999994,20,5,14,4,59,6,20,5,5,0.5,36,5.25,6,Lc,0.21711864406779657,0.23383333333333334,0.24704999999999996,0.21959999999999993,0.1,20,15,30,3,1
1,12,23,1,4,10.308999999999992,17,51,108,102,103,89,15.920999999999989,0.244,1.8909999999999987,9.759999999999993,20,2,8,16,77,2,8,36,2,0.5,15,2.25,6,Lc,0.20676623376623374,0.122,0.236375,0.2711111111111111,0.1,20,15,30,3,1
1,12,24,1,3,7.990999999999993,17,40,3,32,30,27,37.63699999999997,0.061,0.061,0.122,20,1,1,1,162,1,1,1,5,0.5,36,5.25,6,Lc,0.23232716049382715,0.061,0.061,0.122,0.1,20,15,30,3,1
1,13,25,1,7,7.380999999999994,18,32,13,21,18,17,14.578999999999988,0.427,0.488,9.210999999999993,20,3,2,13,57,3,2,31,6,1,72,6,6,Lc,0.2557719298245614,0.14233333333333334,0.244,0.2971290322580644,0.1,20,15,30,3,1
1,13,26,1,1,8.661999999999994,10,41,73,9,5,3,12.26099999999999,0.183,7.014999999999994,3.0499999999999976,20,1,13,12,57,1,24,16,3,0.5,39,5.25,6,Lc,0.21510526315789472,0.183,0.2922916666666666,0.190625,0.1,20,15,30,3,1
1,14,27,1,5,5.001999999999996,10,23,37,45,43,99,6.465999999999996,0.366,5.367999999999996,7.380999999999994,18,3,13,13,32,3,25,34,5,0.5,32,4.25,6,Lc,0.20206249999999998,0.122,0.21472,0.21708823529411764,0.1,20,15,30,3,1
1,14,28,1,3,7.380999999999994,11,35,27,36,119,1,9.210999999999993,8.844999999999994,4.452999999999997,0.183,18,15,10,1,42,33,16,1,5,0,18,4.5,6,Lc,0.2193095238095238,0.268030303030303,0.27831249999999996,0.183,0.1,20,15,30,3,1
1,15,29,1,2,13.48099999999999,20,56,57,54,50,10,15.188999999999988,3.537999999999997,3.903999999999997,8.173999999999994,20,13,11,14,62,17,26,28,4,0.5,30,4.5,6,Lc,0.24498387096774193,0.2081176470588235,0.15015384615384614,0.29192857142857137,0.1,20,15,30,3,1
1,15,30,1,7,5.489999999999996,9,26,16,24,113,72,10.491999999999992,0.7319999999999998,2.8669999999999978,9.210999999999993,20,3,10,17,45,4,15,41,6,0,18,4.5,6,Lc,0.23315555555555553,0.183,0.19113333333333332,0.22465853658536583,0.1,20,15,30,3,1
1,16,31,1,3,7.8689999999999936,13,47,33,26,34,109,8.844999999999994,0.7319999999999998,2.683999999999998,4.025999999999997,18,4,12,11,53,4,18,21,5,0.5,32,4.25,6,Lc,0.16688679245283017,0.183,0.14911111111111108,0.1917142857142857,0.1,20,15,30,3,1
1,16,32,1,4,3.903999999999997,11,20,3,99,98,42,36.90499999999997,0.366,0.305,0.5489999999999999,20,2,2,4,165,2,2,5,2,0,15,3.75,6,Lc,0.22366666666666665,0.183,0.1525,0.1098,0.1,20,15,30,3,1
1,17,33,1,5,11.528999999999991,17,53,46,119,48,1,14.517999999999988,1.1589999999999994,0.427,10.125999999999992,20,5,3,16,67,5,3,42,5,0,18,4.5,6,Lc,0.21668656716417908,0.2318,0.14233333333333334,0.24109523809523808,0.1,20,15,30,3,1
1,17,34,1,7,11.406999999999991,18,55,24,22,102,62,12.44399999999999,2.0739999999999985,6.343999999999995,6.8929999999999945,20,11,14,15,59,14,25,39,6,0,18,4.5,6,Lc,0.21091525423728813,0.14814285714285713,0.25376,0.17674358974358972,0.1,20,15,30,3,1
1,18,35,1,2,8.661999999999994,12,40,55,51,35,7,13.358999999999991,0.9149999999999996,0.183,1.8299999999999987,20,3,1,3,61,3,1,3,4,0,19,4.75,6,Lc,0.219,0.305,0.183,0.6099999999999998,0.1,20,15,30,3,1
1,18,36,1,5,11.89499999999999,19,67,40,38,13,21,17.750999999999987,12.87099999999999,6.648999999999995,15.310999999999988,20,15,16,17,81,51,29,68,5,0,22,5.5,6,Lc,0.21914814814814812,0.2523725490196078,0.2292758620689655,0.22516176470588234,0.1,20,15,30,3,1
1,1,1,0,2,13.41999999999999,17,57,90,88,102,98,30.25599999999998,0.5489999999999999,1.3419999999999992,0.9759999999999995,20,5,4,5,131,5,5,6,4,0,10,2.5,6,Lc,0.23096183206106868,0.1098,0.26839999999999997,0.16266666666666665,0.1,20,15,30,3,2
1,1,2,0,1,12.38299999999999,18,71,81,33,78,75,17.201999999999988,2.9279999999999977,0.488,0.061,20,9,2,1,86,10,2,1,3,0.5,23,3.5,6,Lc,0.2000232558139535,0.2927999999999999,0.244,0.061,0.1,20,15,30,3,2
