Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,8,16,1,10,1.7079999999999989,4,5,58,92,96,98,5.672999999999996,0.305,5.977999999999995,2.1959999999999984,19,3,14,8,25,3,23,8,3,0,12,3,6,Lc,0.22691999999999996,0.10166666666666667,0.25991304347826083,0.27449999999999997,0.5,20,15,10,3,1
1,9,17,1,8,1.8909999999999987,8,9,117,109,112,3,9.454999999999993,0.8539999999999996,5.184999999999996,2.561999999999998,20,3,14,9,53,4,27,11,2,0.5,18,3,6,Lc,0.17839622641509434,0.2135,0.19203703703703703,0.2329090909090909,0.5,20,15,10,3,1
1,9,18,1,7,1.0979999999999994,3,4,23,15,102,17,4.147999999999997,4.269999999999997,0.5489999999999999,1.7689999999999988,13,8,1,9,21,13,1,10,6,0.5,38,5,6,Lc,0.19752380952380952,0.3284615384615384,0.5489999999999999,0.1769,0.5,20,15,10,3,1
1,10,19,1,3,1.9519999999999986,7,9,14,99,61,73,280.66100000001416,0.061,0.061,0.244,20,1,1,1,1155,1,1,1,5,0,15,3.75,6,Lc,0.2429965367965368,0.061,0.061,0.244,0.5,20,15,10,3,1
1,10,20,1,5,0.8539999999999996,4,4,60,42,55,40,4.879999999999997,2.9279999999999977,1.0979999999999994,0.6099999999999999,13,7,2,3,21,12,2,4,5,0,18,4.5,6,Lc,0.23238095238095235,0.24399999999999997,0.5489999999999998,0.1525,0.5,20,15,10,3,1
1,11,21,1,3,0.6099999999999999,5,5,32,27,54,50,1.8299999999999992,6.343999999999995,3.598999999999997,0.244,10,15,12,2,10,27,16,2,5,0,18,4.5,6,Lc,0.183,0.23496296296296296,0.22493749999999998,0.122,0.5,20,15,10,3,1
1,11,22,1,7,2.1959999999999984,9,12,21,14,102,20,4.391999999999997,10.796999999999992,3.2329999999999974,1.7079999999999989,13,19,10,7,18,45,12,8,6,0.5,38,5,6,Lc,0.24399999999999997,0.23993333333333333,0.26941666666666664,0.2135,0.5,20,15,10,3,1
1,12,23,1,4,2.0739999999999985,8,12,108,65,105,98,12.32199999999999,9.576999999999993,1.8299999999999987,2.744999999999998,20,19,8,8,57,41,12,9,2,0.5,16,2.5,6,Lc,0.21617543859649122,0.23358536585365852,0.1525,0.305,0.5,20,15,10,3,1
1,12,24,1,8,1.463999999999999,5,6,120,50,112,17,4.330999999999997,5.001999999999996,3.9649999999999967,0.488,13,13,10,4,17,21,20,4,2,0,14,3.5,6,Lc,0.25476470588235295,0.23819047619047612,0.19824999999999998,0.122,0.5,20,15,10,3,1
1,13,25,1,10,1.8299999999999987,6,9,88,87,86,94,5.001999999999996,2.0739999999999985,2.8669999999999978,6.465999999999995,13,7,9,14,18,9,11,40,3,1,36,3,6,Lc,0.27788888888888885,0.23044444444444445,0.2606363636363636,0.16165,0.5,20,15,10,3,1
1,13,26,1,3,1.2809999999999993,7,8,26,19,34,18,2.927999999999998,6.404999999999995,0.366,0.5489999999999999,12,13,2,3,13,29,2,3,5,0,22,5.5,6,Lc,0.2252307692307692,0.22086206896551724,0.183,0.183,0.5,20,15,10,3,1
1,14,27,1,8,0.9759999999999995,5,5,110,53,109,120,1.7689999999999992,5.977999999999995,1.524999999999999,7.319999999999994,6,13,6,16,6,21,7,37,2,0.5,16,2.5,6,Lc,0.2948333333333333,0.2846666666666666,0.21785714285714286,0.19783783783783784,0.5,20,15,10,3,1
