Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,param_w,param_Phi,param_thres_item_final,param_thres_schema,param_theta_shift,rep
1,4,7,0,5,6.465999999999995,19,61,41,40,43,48,9.820999999999993,1.1589999999999994,3.1719999999999975,7.441999999999994,20,7,13,17,94,10,25,46,5,1,60,5,6,Lc,0.10447872340425532,0.11589999999999999,0.12688,0.16178260869565217,0.5,20,15,30,1,2
1,4,8,0,9,10.430999999999992,20,91,69,64,70,71,12.74899999999999,4.391999999999997,1.2199999999999993,6.282999999999995,20,17,8,17,108,41,9,54,4,1,48,4,6,Lc,0.11804629629629629,0.1071219512195122,0.13555555555555554,0.11635185185185186,0.5,20,15,30,1,2
1,5,9,0,8,4.6969999999999965,15,43,112,113,120,117,10.918999999999992,2.0129999999999986,20.617999999999984,0.488,20,11,18,4,94,19,170,4,2,1,24,2,6,Lc,0.11615957446808511,0.10594736842105262,0.12128235294117647,0.122,0.5,20,15,30,1,2
1,5,10,0,7,7.807999999999994,14,57,21,14,17,18,8.905999999999993,6.404999999999995,0.244,13.785999999999989,20,17,2,17,68,52,2,125,6,1,72,6,6,Lc,0.13097058823529412,0.12317307692307693,0.122,0.110288,0.5,20,15,30,1,2
1,6,11,1,5,6.160999999999995,19,53,42,48,41,38,8.600999999999994,2.744999999999998,5.672999999999996,1.7689999999999988,20,12,18,10,74,21,48,18,5,1,60,5,6,Lc,0.11622972972972972,0.1307142857142857,0.1181875,0.09827777777777777,0.5,20,15,30,1,2
1,6,12,1,9,6.770999999999995,15,58,69,68,63,72,9.210999999999993,1.2809999999999993,5.184999999999996,15.615999999999987,20,8,17,17,84,12,43,120,4,1,48,4,6,Lc,0.10965476190476191,0.10675,0.12058139534883722,0.13013333333333332,0.5,20,15,30,1,2
1,7,13,1,5,8.112999999999994,17,76,40,48,39,21,13.72499999999999,1.3419999999999992,3.476999999999997,15.859999999999987,20,11,14,17,129,14,22,132,5,0.5,36,5.25,6,Lc,0.1063953488372093,0.09585714285714285,0.15804545454545454,0.12015151515151513,0.5,20,15,30,1,2
1,7,14,1,6,5.550999999999996,17,53,3,10,5,11,6.7099999999999955,3.598999999999997,3.0499999999999976,1.7079999999999989,20,16,12,10,66,25,23,14,6,1,72,6,6,Lc,0.10166666666666667,0.14396,0.1326086956521739,0.122,0.5,20,15,30,1,2
1,8,15,1,5,5.123999999999996,13,47,47,37,38,43,5.794999999999996,2.2569999999999983,5.489999999999996,3.1719999999999975,17,13,18,11,52,20,50,24,5,1,60,5,6,Lc,0.11144230769230769,0.11285,0.1098,0.13216666666666665,0.5,20,15,30,1,2
1,8,16,1,6,7.807999999999994,17,65,7,11,1,5,10.918999999999992,1.0979999999999994,3.0499999999999976,1.8909999999999987,20,8,15,10,95,11,29,15,6,1,72,6,6,Lc,0.11493684210526316,0.09981818181818182,0.10517241379310345,0.12606666666666666,0.5,20,15,30,1,2
