model,strategy,combo_id,thres_schema,thres_item_final,risk,AC_mean,AC_se,perf_mean,perf_se,RT_mean,RT_se,n_runs
original,baseline,19,30,15,Lc,0.3567095588235294,0.026211044474124794,28.320404411764706,0.9745402114620452,29.012631617647013,0.9760204576416612,10
original,baseline,19,30,15,Hc,0.3567095588235294,0.026211044474124794,22.839889705882353,0.8892829560651392,29.012631617647013,0.9760204576416612,10
original,bonus_oriented,1,40,40,Lc,0.4135714285714286,0.02661287564153518,31.67142857142857,1.351238292513369,51.68579380952395,3.1489591391828755,10
original,bonus_oriented,1,40,40,Hc,0.4135714285714286,0.02661287564153518,26.547857142857143,1.3808698410837326,51.68579380952395,3.1489591391828755,10
original,bonus_oriented,2,45,40,Lc,0.49642857142857144,0.03304724166108112,34.003571428571426,1.515204092831302,47.98188833333345,1.2298909132396922,10
original,bonus_oriented,2,45,40,Hc,0.49642857142857144,0.03304724166108112,28.575,1.8656135422130942,47.98188833333345,1.2298909132396922,10
original,bonus_oriented,3,50,40,Lc,0.45095238095238094,0.03725630483471236,32.21142857142857,1.7690111513257167,49.142021190476264,0.8040343011667046,10
original,bonus_oriented,3,50,40,Hc,0.45095238095238094,0.03725630483471236,26.305,1.9462373480166322,49.142021190476264,0.8040343011667046,10
original,bonus_oriented,4,40,45,Lc,0.4063919413919414,0.029845122690712066,28.927087912087913,1.1946608685846032,58.54263510989111,4.892801677528007,10
original,bonus_oriented,4,40,45,Hc,0.4063919413919414,0.029845122690712066,23.666813186813187,0.9756489046236609,58.54263510989111,4.892801677528007,10
original,bonus_oriented,5,45,45,Lc,0.3942307692307692,0.022080803623527597,30.147802197802196,1.0493317827815145,56.30196098901121,1.4212051757776063,10
original,bonus_oriented,5,45,45,Hc,0.3942307692307692,0.022080803623527597,24.545054945054947,1.3239737355861092,56.30196098901121,1.4212051757776063,10
original,bonus_oriented,6,50,45,Lc,0.40964285714285714,0.02722059238050881,29.73456043956044,1.5466439207466007,59.55880908424929,2.4226686869669547,10
original,bonus_oriented,6,50,45,Hc,0.40964285714285714,0.02722059238050881,24.297307692307694,1.3895371429370498,59.55880908424929,2.4226686869669547,10
original,bonus_oriented,7,40,50,Lc,0.43392857142857144,0.0340952464086183,30.871428571428574,1.1721832644438228,56.49994285714317,0.7671250988382675,10
original,bonus_oriented,7,40,50,Hc,0.43392857142857144,0.0340952464086183,25.771428571428572,1.165344245656344,56.49994285714317,0.7671250988382675,10
original,bonus_oriented,8,45,50,Lc,0.3677197802197802,0.03110322742442817,28.448351648351647,1.2999042670894103,60.897825000000225,1.6605192880720032,10
original,bonus_oriented,8,45,50,Hc,0.3677197802197802,0.03110322742442817,22.96923076923077,1.4038723059672653,60.897825000000225,1.6605192880720032,10
original,bonus_oriented,9,50,50,Lc,0.4074175824175824,0.021536896295072678,30.744505494505493,0.9236214888822184,61.40335412087961,0.9597400675885867,10
original,bonus_oriented,9,50,50,Hc,0.4074175824175824,0.021536896295072678,26.11510989010989,0.9927287714837156,61.40335412087961,0.9597400675885867,10
original,payoff_oriented,10,15,10,Lc,0.25074926900584793,0.028765809929906933,24.466520467836254,1.1572902259342082,18.279739126461926,2.099211919050089,10
original,payoff_oriented,10,15,10,Hc,0.25074926900584793,0.028765809929906933,20.028527046783626,0.7390878861066602,18.279739126461926,2.099211919050089,10
original,payoff_oriented,11,20,10,Lc,0.3000730994152047,0.026597039146582922,26.846345029239767,1.1133881213924488,18.566384502923977,0.7263136011463764,10
original,payoff_oriented,11,20,10,Hc,0.3000730994152047,0.026597039146582922,21.448976608187134,1.1330228142087717,18.566384502923977,0.7263136011463764,10
original,payoff_oriented,12,25,10,Lc,0.35583333333333333,0.029155494626931212,29.052222222222223,1.393354844577681,24.32988388888893,2.3807682283233094,10
original,payoff_oriented,12,25,10,Hc,0.35583333333333333,0.029155494626931212,22.983888888888888,1.3688776780244791,24.32988388888893,2.3807682283233094,10
original,payoff_oriented,13,15,12.5,Lc,0.22076023391812866,0.018134614606568834,23.029824561403508,0.8023759255107852,19.51313304093574,0.718160407572995,10
original,payoff_oriented,13,15,12.5,Hc,0.22076023391812866,0.018134614606568834,18.75175438596491,0.5723687758134126,19.51313304093574,0.718160407572995,10
original,payoff_oriented,14,20,12.5,Lc,0.29817251461988303,0.029253864778365456,25.53611111111111,1.2412022598151762,20.78231652046784,0.7600019628685265,10
original,payoff_oriented,14,20,12.5,Hc,0.29817251461988303,0.029253864778365456,20.37953216374269,1.015910793793398,20.78231652046784,0.7600019628685265,10
original,payoff_oriented,15,25,12.5,Lc,0.3512254901960784,0.029934248573542425,28.362908496732025,1.0246041222934335,24.224864215686303,0.7300536426196524,10
original,payoff_oriented,15,25,12.5,Hc,0.3512254901960784,0.029934248573542425,22.76437908496732,0.8331529629510442,24.224864215686303,0.7300536426196524,10
original,payoff_oriented,16,15,15,Lc,0.2843846749226006,0.03921246065032378,25.477739078087374,1.2847937446083952,37.71028045988202,13.514893154151155,10
original,payoff_oriented,16,15,15,Hc,0.2843846749226006,0.03921246065032378,20.73418257653939,1.100316095818577,37.71028045988202,13.514893154151155,10
original,payoff_oriented,17,20,15,Lc,0.3422574819401445,0.04259997712069156,27.758966288269693,1.4868696628372071,26.080955407637216,2.5690397180787117,10
original,payoff_oriented,17,20,15,Hc,0.3422574819401445,0.04259997712069156,21.97500343997248,1.2725063187015184,26.080955407637216,2.5690397180787117,10
original,payoff_oriented,18,25,15,Lc,0.3712418300653595,0.01936280255178407,29.177614379084968,0.868412600755928,26.17365473856213,0.7389384596679517,10
original,payoff_oriented,18,25,15,Hc,0.3712418300653595,0.01936280255178407,23.43839869281046,0.9827358228097524,26.17365473856213,0.7389384596679517,10
adapted,baseline,19,30,15,Lc,0.3836852689793866,0.02120155331034664,29.448592257415786,1.0122040997251884,30.250550175968623,4.331378520296969,10
adapted,baseline,19,30,15,Hc,0.3567095588235294,0.026211044474124794,22.839889705882353,0.8892829560651392,29.012631617647013,0.9760204576416612,10
adapted,bonus_oriented,1,40,40,Lc,0.3499702380952381,0.02543664916200302,28.907708333333332,1.066907143402433,48.2086921428573,1.417247252461572,10
adapted,bonus_oriented,1,40,40,Hc,0.4135714285714286,0.02661287564153518,26.547857142857143,1.3808698410837326,51.68579380952395,3.1489591391828755,10
adapted,bonus_oriented,2,45,40,Lc,0.4007291666666667,0.03562914544323834,30.116875,1.2711661847802211,45.56472520833344,0.8934694278518434,10
adapted,bonus_oriented,2,45,40,Hc,0.49642857142857144,0.03304724166108112,28.575,1.8656135422130942,47.98188833333345,1.2298909132396922,10
adapted,bonus_oriented,3,50,40,Lc,0.4322619047619048,0.03563856611607397,32.2897619047619,1.6487847227519874,50.87020202380986,3.558454799413133,10
adapted,bonus_oriented,3,50,40,Hc,0.45095238095238094,0.03725630483471236,26.305,1.9462373480166322,49.142021190476264,0.8040343011667046,10
adapted,bonus_oriented,4,40,45,Lc,0.3954761904761905,0.041162788504551,30.17047619047619,1.8851059958984355,53.491030714285706,1.6222584504908832,10
adapted,bonus_oriented,4,40,45,Hc,0.4063919413919414,0.029845122690712066,23.666813186813187,0.9756489046236609,58.54263510989111,4.892801677528007,10
adapted,bonus_oriented,5,45,45,Lc,0.4575,0.03283741547958958,33.15380952380952,1.369044683686754,49.74709761904779,0.7283957891507943,10
adapted,bonus_oriented,5,45,45,Hc,0.3942307692307692,0.022080803623527597,24.545054945054947,1.3239737355861092,56.30196098901121,1.4212051757776063,10
adapted,bonus_oriented,6,50,45,Lc,0.39437500000000003,0.030742651847826725,29.758333333333333,1.5725364160468267,52.2709054464288,2.170454531913212,10
adapted,bonus_oriented,6,50,45,Hc,0.40964285714285714,0.02722059238050881,24.297307692307694,1.3895371429370498,59.55880908424929,2.4226686869669547,10
adapted,bonus_oriented,7,40,50,Lc,0.3434065934065934,0.025151495256578074,28.17554945054945,0.8505933488670083,56.86012774725318,1.4298331668525768,10
adapted,bonus_oriented,7,40,50,Hc,0.43392857142857144,0.0340952464086183,25.771428571428572,1.165344245656344,56.49994285714317,0.7671250988382675,10
adapted,bonus_oriented,8,45,50,Lc,0.41160256410256413,0.03410694872001884,31.017252747252748,1.2974680806915944,59.35580756410295,1.0002003061990672,10
adapted,bonus_oriented,8,45,50,Hc,0.3677197802197802,0.03110322742442817,22.96923076923077,1.4038723059672653,60.897825000000225,1.6605192880720032,10
adapted,bonus_oriented,9,50,50,Lc,0.47857142857142854,0.04215697907053755,33.29642857142857,1.5450441033119857,55.8559571428573,0.797627388065876,10
adapted,bonus_oriented,9,50,50,Hc,0.4074175824175824,0.021536896295072678,26.11510989010989,0.9927287714837156,61.40335412087961,0.9597400675885867,10
adapted,payoff_oriented,10,15,10,Lc,0.18440058479532162,0.023905386978051175,21.897426900584794,0.8146127089813111,15.876011608187191,0.7788502157569209,10
adapted,payoff_oriented,10,15,10,Hc,0.25074926900584793,0.028765809929906933,20.028527046783626,0.7390878861066602,18.279739126461926,2.099211919050089,10
adapted,payoff_oriented,11,20,10,Lc,0.31549707602339183,0.01150045840847485,26.25687134502924,0.3093632389249019,18.499115058479603,0.6884437918547709,10
adapted,payoff_oriented,11,20,10,Hc,0.3000730994152047,0.026597039146582922,21.448976608187134,1.1330228142087717,18.566384502923977,0.7263136011463764,10
adapted,payoff_oriented,12,25,10,Lc,0.391937564499484,0.0315145000359858,30.489576883384935,1.0990349055656772,23.82299969900246,1.133928481265479,10
adapted,payoff_oriented,12,25,10,Hc,0.35583333333333333,0.029155494626931212,22.983888888888888,1.3688776780244791,24.32988388888893,2.3807682283233094,10
adapted,payoff_oriented,13,15,12.5,Lc,0.28782077743378054,0.029943843449288767,24.776164430684556,0.9075134399336618,21.657317664259047,2.544732116464489,10
