Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,strategy,combo_id,thres_schema,thres_item_final,model,risk,run,attempt
1,13,26,1,5,13.907999999999989,17,68,45,42,55,98,23.48499999999998,1.3419999999999992,55.021999999999956,2.1959999999999984,20,4,16,8,100,4,210,10,5,0,16,4,5,Lc,0.23484999999999998,0.33549999999999996,0.26200952380952375,0.21959999999999996,bonus_oriented,1,50,45,original,Lc,1,1
1,14,27,1,7,6.038999999999995,13,24,17,85,109,119,56.790999999999954,0.061,1.2199999999999993,0.183,20,1,5,1,225,1,6,1,6,0,13,3.25,5,Lc,0.25240444444444443,0.061,0.20333333333333334,0.183,bonus_oriented,1,50,45,original,Lc,1,1
1,14,28,1,3,3.2939999999999974,12,19,2,61,28,33,130.47900000000726,0.061,0.183,0.061,20,1,3,1,534,1,3,1,5,0,20,5,5,Lc,0.2443426966292134,0.061,0.061,0.061,bonus_oriented,1,50,45,original,Lc,1,1
1,1,1,0,9,15.798999999999987,19,71,64,71,62,33,29.340999999999976,10.979999999999992,0.061,0.7929999999999997,20,17,1,3,131,43,1,3,4,0.5,29,4.25,5,Lc,0.2239770992366412,0.2553488372093023,0.061,0.2643333333333333,bonus_oriented,1,50,45,original,Lc,2,1
1,1,2,0,5,11.345999999999991,18,51,37,46,40,42,26.22999999999998,5.7949999999999955,2.9889999999999977,3.3549999999999973,20,12,8,15,110,20,12,21,5,1,60,5,5,Lc,0.23845454545454542,0.28974999999999995,0.2490833333333333,0.15976190476190477,bonus_oriented,1,50,45,original,Lc,2,1
1,2,3,0,5,8.600999999999994,16,50,42,47,41,37,17.445999999999987,1.2199999999999993,19.397999999999985,1.8909999999999987,20,2,18,10,86,2,84,12,5,1,60,5,5,Lc,0.20286046511627906,0.6099999999999999,0.23092857142857143,0.15758333333333333,bonus_oriented,1,50,45,original,Lc,2,1
1,2,4,0,6,20.068999999999985,19,89,97,9,11,100,34.952999999999975,3.842999999999997,0.061,9.637999999999993,20,13,1,16,151,16,1,39,6,0,16,4,5,Lc,0.23147682119205296,0.2401875,0.061,0.2471282051282051,bonus_oriented,1,50,45,original,Lc,2,1
1,3,5,0,5,11.77299999999999,14,52,40,42,37,92,19.336999999999986,0.9149999999999996,4.818999999999996,11.589999999999991,20,5,12,17,78,7,18,47,5,0.5,33,4.5,5,Lc,0.24791025641025638,0.1307142857142857,0.2677222222222222,0.24659574468085105,bonus_oriented,1,50,45,original,Lc,2,1
1,3,6,0,3,8.417999999999994,11,37,9,106,53,34,52.09399999999996,0.244,0.061,0.9149999999999996,20,2,1,2,233,2,1,3,5,0,17,4.25,5,Lc,0.22357939914163089,0.122,0.061,0.305,bonus_oriented,1,50,45,original,Lc,2,1
1,4,7,0,3,11.71199999999999,18,65,35,30,6,1,23.118999999999982,4.147999999999997,67.1000000000003,7.563999999999994,20,12,18,15,113,21,285,30,5,0,22,5.5,5,Lc,0.20459292035398227,0.19752380952380952,0.23543859649122806,0.25213333333333326,bonus_oriented,1,50,45,original,Lc,2,1
1,4,8,0,5,8.722999999999994,16,39,43,97,47,103,14.33499999999999,15.859999999999987,15.554999999999987,1.524999999999999,20,18,17,5,55,63,69,6,5,0,14,3.5,5,Lc,0.2606363636363636,0.2517460317460317,0.22543478260869565,0.25416666666666665,bonus_oriented,1,50,45,original,Lc,2,1
1,5,9,1,5,8.905999999999993,17,54,40,43,47,39,20.617999999999984,7.014999999999994,2.561999999999998,3.537999999999997,20,18,8,10,102,38,8,12,5,1,60,5,5,Lc,0.20213725490196077,0.18460526315789472,0.32025,0.29483333333333334,bonus_oriented,1,50,45,original,Lc,2,1
1,5,10,1,7,6.8929999999999945,15,27,23,14,20,16,20.312999999999985,20.068999999999985,1.7689999999999988,5.611999999999996,20,19,10,13,82,73,11,24,6,1,72,6,5,Lc,0.24771951219512192,0.27491780821917805,0.1608181818181818,0.2338333333333333,bonus_oriented,1,50,45,original,Lc,2,1
1,6,11,1,9,7.685999999999994,13,48,70,66,69,61,17.567999999999987,3.2329999999999974,3.781999999999997,10.735999999999992,20,9,10,16,93,15,14,56,4,1,48,4,5,Lc,0.1889032258064516,0.21553333333333333,0.27014285714285713,0.1917142857142857,bonus_oriented,1,50,45,original,Lc,2,1
1,6,12,1,1,8.051999999999994,16,37,79,80,83,58,18.848999999999986,3.1719999999999975,15.127999999999988,7.014999999999994,20,12,17,14,84,15,52,26,3,0.5,22,3.25,5,Lc,0.22439285714285712,0.21146666666666666,0.2909230769230769,0.26980769230769225,bonus_oriented,1,50,45,original,Lc,2,1
1,7,13,1,9,5.977999999999995,15,34,66,68,70,69,20.373999999999985,2.3789999999999982,1.0979999999999994,20.617999999999984,20,10,3,17,105,14,3,89,4,1,48,4,5,Lc,0.19403809523809523,0.16992857142857143,0.3659999999999998,0.23166292134831457,bonus_oriented,1,50,45,original,Lc,2,1
1,7,14,1,7,8.600999999999994,12,48,19,16,20,51,11.650999999999991,49.47099999999996,1.8299999999999987,0.122,20,19,7,1,62,199,7,1,6,0.5,40,5.5,5,Lc,0.18791935483870967,0.24859798994974872,0.2614285714285714,0.122,bonus_oriented,1,50,45,original,Lc,2,1
1,8,15,1,7,8.722999999999994,14,48,18,14,24,22,12.870999999999992,52.21599999999996,3.0499999999999976,9.332999999999993,20,19,9,16,61,203,11,40,6,1,72,6,5,Lc,0.21099999999999997,0.2572216748768473,0.2772727272727272,0.23332499999999998,bonus_oriented,1,50,45,original,Lc,2,1
1,8,16,1,6,11.71199999999999,12,55,12,5,3,11,20.983999999999984,25.86399999999998,3.537999999999997,2.561999999999998,20,19,16,11,91,123,19,15,6,1,72,6,5,Lc,0.23059340659340657,0.21027642276422762,0.18621052631578947,0.1708,bonus_oriented,1,50,45,original,Lc,2,1
1,9,17,1,7,4.940999999999996,12,23,22,15,16,100,7.8079999999999945,20.617999999999984,11.040999999999991,1.2199999999999993,20,18,18,6,35,85,52,6,6,0.5,38,5,5,Lc,0.22308571428571428,0.24256470588235293,0.21232692307692305,0.2033333333333333,bonus_oriented,1,50,45,original,Lc,2,1
1,9,18,1,9,2.622999999999998,8,12,1,61,114,74,96.80700000000344,0.427,0.122,0.5489999999999999,20,2,1,3,418,2,1,3,4,0,15,3.75,5,Lc,0.23159569377990424,0.2135,0.122,0.183,bonus_oriented,1,50,45,original,Lc,2,1
1,10,19,1,3,5.123999999999996,13,22,2,107,32,81,100.95500000000362,0.061,0.061,0.122,20,1,1,1,410,1,1,1,5,0,16,4,5,Lc,0.24623170731707314,0.061,0.061,0.122,bonus_oriented,1,50,45,original,Lc,2,1
1,10,20,1,5,6.282999999999995,10,33,41,46,45,47,27.205999999999978,3.1109999999999975,7.807999999999994,0.7929999999999997,20,11,15,4,131,15,35,4,5,1,60,5,5,Lc,0.20767938931297708,0.2074,0.22308571428571428,0.19824999999999998,bonus_oriented,1,50,45,original,Lc,2,1
1,11,21,1,1,11.162999999999991,10,49,74,80,35,20,20.739999999999984,9.637999999999993,15.127999999999988,0.5489999999999999,20,15,17,4,79,38,68,4,3,0,17,4.25,5,Lc,0.2625316455696202,0.2536315789473684,0.2224705882352941,0.13724999999999998,bonus_oriented,1,50,45,original,Lc,2,1
1,11,22,1,10,9.210999999999993,14,53,86,96,88,11,31.048999999999978,0.061,2.2569999999999983,19.763999999999985,20,1,7,15,151,1,8,83,3,0.5,24,3.75,5,Lc,0.20562251655629138,0.061,0.28212499999999996,0.23812048192771082,bonus_oriented,1,50,45,original,Lc,2,1
1,12,23,1,5,6.953999999999994,10,31,44,43,40,14,15.37199999999999,16.40899999999999,6.526999999999995,11.71199999999999,20,17,13,16,64,73,33,50,5,0.5,36,5.25,5,Lc,0.24018749999999997,0.2247808219178082,0.19778787878787876,0.23423999999999998,bonus_oriented,1,50,45,original,Lc,2,1
1,12,24,1,2,6.526999999999995,17,32,55,60,82,76,56.668999999999954,0.183,2.1959999999999984,1.2809999999999993,20,2,11,8,240,2,12,8,4,0,14,3.5,5,Lc,0.23612083333333328,0.0915,0.18299999999999997,0.160125,bonus_oriented,1,50,45,original,Lc,2,1
