model,strategy,risk,AC_mean,AC_se,perf_mean,perf_se,RT_mean,RT_se,n_runs
original,baseline,Lc,0.3567095588235294,0.026211044474124794,28.320404411764706,0.9745402114620452,29.012631617647013,0.9760204576416612,10
original,baseline,Hc,0.3567095588235294,0.026211044474124794,22.839889705882353,0.8892829560651392,29.012631617647013,0.9760204576416612,10
original,bonus_oriented,Lc,0.4200315425315425,0.010363080226476458,30.751129426129427,0.509853720993454,55.779358943834254,0.6019718642600503,10
original,bonus_oriented,Hc,0.4200315425315425,0.010363080226476458,25.421422466422467,0.5428949766553165,55.779358943834254,0.6019718642600503,10
original,payoff_oriented,Lc,0.3082997697129534,0.010296708891517573,26.6342501815541,0.37589384468395914,23.962356877938454,1.41158957409621,10
original,payoff_oriented,Hc,0.3082997697129534,0.010296708891517573,21.389404765317433,0.3287068094594768,23.962356877938454,1.41158957409621,10
adapted,baseline,Lc,0.3836852689793866,0.02120155331034664,29.448592257415786,1.0122040997251884,30.250550175968623,4.331378520296969,10
adapted,baseline,Hc,0.3567095588235294,0.026211044474124794,22.839889705882353,0.8892829560651392,29.012631617647013,0.9760204576416612,10
adapted,bonus_oriented,Lc,0.4070992317867318,0.013459059337710256,30.765132783882784,0.586665066127428,52.46939395655293,0.48048016786281167,10
adapted,bonus_oriented,Hc,0.4200315425315425,0.010363080226476458,25.421422466422467,0.5428949766553165,55.779358943834254,0.6019718642600503,10
adapted,payoff_oriented,Lc,0.31176144507510606,0.005721125408946965,26.62958968772694,0.24401354199645398,21.294392148310678,0.3293432618769218,10
adapted,payoff_oriented,Hc,0.3082997697129534,0.010296708891517573,21.389404765317433,0.3287068094594768,23.962356877938454,1.41158957409621,10
