model,agent,risk,run,AC,performance,RT
adapted,baseline,Hc,1,0.38235294117647056,19.852941176470587,29.491705882352917
adapted,baseline,Hc,2,0.338235294117647,18.205882352941178,27.371058823529392
adapted,baseline,Hc,3,0.5588235294117647,31.294117647058822,30.548441176470565
adapted,baseline,Hc,4,0.36764705882352944,18.91176470588235,29.881029411764683
adapted,baseline,Hc,5,0.47058823529411764,23.323529411764703,27.37285294117645
adapted,baseline,Hc,6,0.38235294117647056,21.676470588235297,30.13041176470598
adapted,baseline,Hc,7,0.4705882352941176,24.411764705882355,30.18782352941174
adapted,baseline,Hc,8,0.3088235294117647,22.14705882352941,31.280441176470564
adapted,baseline,Hc,9,0.1764705882352941,16.441176470588236,28.460088235294098
adapted,baseline,Hc,10,0.38235294117647056,25.794117647058822,31.82047058823527
adapted,baseline,Hc,11,0.4264705882352941,25.235294117647058,28.826088235294097
adapted,baseline,Hc,12,0.265625,22.46875,34.762375000000375
adapted,baseline,Hc,13,0.41176470588235303,25.911764705882355,30.496411764705858
adapted,baseline,Hc,14,0.4411764705882353,28,32.01423529411768
adapted,baseline,Hc,15,0.36764705882352944,22.38235294117647,33.65226470588261
adapted,baseline,Hc,16,0.484375,29.40625,33.90265624999997
adapted,baseline,Hc,17,0.3088235294117647,22.794117647058822,33.996735294117634
adapted,baseline,Hc,18,0.36764705882352944,24.529411764705884,32.6134705882353
adapted,baseline,Hc,19,0.3382352941176471,24.941176470588236,29.802088235294097
adapted,baseline,Hc,20,0.4264705882352941,23,31.987323529411743
adapted,baseline,Lc,1,0.1764705882352941,21.764705882352942,26.80770588235292
adapted,baseline,Lc,2,0.4264705882352941,32.205882352941174,33.015352941176445
adapted,baseline,Lc,3,0.4852941176470588,31.411764705882355,29.107764705882456
adapted,baseline,Lc,4,0.2777777777777778,26.305555555555557,24.34238888888887
adapted,baseline,Lc,5,0.33333333333333337,26.5,26.58413888888887
adapted,baseline,Lc,6,0.27941176470588247,24.735294117647058,28.67179411764704
adapted,baseline,Lc,7,0.5294117647058824,39.705882352941174,28.122794117647043
adapted,baseline,Lc,8,0.38235294117647056,31.470588235294116,29.942029411764807
adapted,baseline,Lc,9,0.4117647058823529,32.85294117647059,30.370823529411798
adapted,baseline,Lc,10,0.411764705882353,30.588235294117645,31.992705882353512
adapted,baseline,Lc,11,0.41666666666666663,30.555555555555557,26.019888888888868
adapted,baseline,Lc,12,0.453125,35.25,35.12456250000055
adapted,baseline,Lc,13,0.338235294117647,29.294117647058822,29.672911764706118
adapted,baseline,Lc,14,0.4411764705882353,29,28.6951176470588
adapted,baseline,Lc,15,0.4558823529411765,34.35294117647059,28.555176470588215
adapted,baseline,Lc,16,0.4027777777777778,29.77777777777778,35.44438888888952
adapted,baseline,Lc,17,0.4411764705882353,28.235294117647058,28.266323529411743
adapted,baseline,Lc,18,0.4027777777777778,29.61111111111111,26.19949999999998
adapted,baseline,Lc,19,0.3088235294117647,27.235294117647058,27.376441176470568
adapted,baseline,Lc,20,0.5,30.441176470588236,29.38405882352939
adapted,bonus,Hc,1,0.42857142857142855,23.035714285714285,58.37482142857139
adapted,bonus,Hc,2,0.375,21.25,60.24185714285748
adapted,bonus,Hc,3,0.5178571428571429,29.714285714285715,57.74957142857178
adapted,bonus,Hc,4,0.4423076923076923,26.923076923076923,66.62842307692398
adapted,bonus,Hc,5,0.25,17.321428571428573,52.73449999999996
adapted,bonus,Hc,6,0.42857142857142855,23.678571428571427,64.30925000000032
adapted,bonus,Hc,7,0.21153846153846154,20.653846153846153,68.10415384615467
adapted,bonus,Hc,8,0.6071428571428571,32.464285714285715,57.21800000000002
adapted,bonus,Hc,9,0.5357142857142858,33.607142857142854,52.2987857142857
adapted,bonus,Hc,10,0.46428571428571425,27.678571428571427,59.285464285714646
adapted,bonus,Hc,11,0.30357142857142855,21.857142857142854,62.934571428572355
adapted,bonus,Hc,12,0.3269230769230769,22.538461538461537,68.77280769230852
adapted,bonus,Hc,13,0.30357142857142855,18.785714285714285,57.6145
adapted,bonus,Hc,14,0.4821428571428571,26.75,58.04585714285772
adapted,bonus,Hc,15,0.3392857142857143,20.321428571428573,60.36385714285782
adapted,bonus,Hc,16,0.40384615384615385,24.76923076923077,63.36257692307749
adapted,bonus,Hc,17,0.4423076923076923,23.884615384615383,63.17019230769267
adapted,bonus,Hc,18,0.4642857142857143,27.392857142857146,58.24410714285749
adapted,bonus,Hc,19,0.31666666666666665,24.9,51.07326666666667
adapted,bonus,Hc,20,0.2857142857142857,20.678571428571427,58.47067857142922
adapted,bonus,Lc,1,0.5714285714285714,38.357142857142854,57.79096428571477
adapted,bonus,Lc,2,0.3571428571428571,24.857142857142858,53.490464285714395
adapted,bonus,Lc,3,0.4107142857142857,28.892857142857142,56.5491785714286
adapted,bonus,Lc,4,0.4666666666666667,31.2,51.010233333333346
adapted,bonus,Lc,5,0.44642857142857145,32.535714285714285,51.91971428571436
adapted,bonus,Lc,6,0.6071428571428571,39,61.559892857143566
adapted,bonus,Lc,7,0.22727272727272727,22.5,100.32559090910051
adapted,bonus,Lc,8,0.3928571428571429,28.678571428571427,55.47732142857158
adapted,bonus,Lc,9,0.46428571428571425,31.321428571428573,55.00239285714326
adapted,bonus,Lc,10,0.4821428571428571,35.17857142857143,59.29417857142886
adapted,bonus,Lc,11,0.4464285714285714,34.03571428571429,53.83032142857148
adapted,bonus,Lc,12,0.5178571428571429,36.642857142857146,54.947928571428875
adapted,bonus,Lc,13,0.32142857142857145,26.785714285714285,56.344392857143085
adapted,bonus,Lc,14,0.4,28.966666666666665,50.66253333333341
adapted,bonus,Lc,15,0.35714285714285715,30.607142857142858,60.858392857142974
adapted,bonus,Lc,16,0.2678571428571429,24.392857142857142,59.68414285714338
adapted,bonus,Lc,17,0.6428571428571429,40.107142857142854,57.973964285714665
adapted,bonus,Lc,18,0.5892857142857143,37.285714285714285,52.77371428571471
adapted,bonus,Lc,19,0.5357142857142857,36.32142857142857,61.98253571428651
adapted,bonus,Lc,20,0.44642857142857145,30.321428571428573,55.52089285714287
adapted,payoff,Hc,1,0.38235294117647056,29.05882352941176,26.606764705882426
adapted,payoff,Hc,2,0.5138888888888888,31.444444444444446,23.712055555555537
adapted,payoff,Hc,3,0.47058823529411764,28.61764705882353,28.34347058823577
adapted,payoff,Hc,4,0.3125,23.875,42.480781250001165
adapted,payoff,Hc,5,0.4305555555555556,21.166666666666668,22.392083333333318
adapted,payoff,Hc,6,0.3888888888888889,25.27777777777778,25.98599999999998
adapted,payoff,Hc,7,0.3611111111111111,22.305555555555557,24.499972222222205
adapted,payoff,Hc,8,0.33333333333333337,24.666666666666664,24.43727777777776
adapted,payoff,Hc,9,0.375,21.86111111111111,21.910861111111096
adapted,payoff,Hc,10,0.3194444444444444,21.88888888888889,24.12888888888887
adapted,payoff,Hc,11,0.48611111111111105,25.083333333333336,25.728444444444424
adapted,payoff,Hc,12,0.29166666666666663,17.38888888888889,24.050944444444426
adapted,payoff,Hc,13,0.3529411764705882,22.411764705882355,26.750294117647037
adapted,payoff,Hc,14,0.41666666666666663,21.166666666666668,25.667444444444424
adapted,payoff,Hc,15,0.5735294117647058,30.14705882352941,27.597117647059125
adapted,payoff,Hc,16,0.23611111111111108,18.27777777777778,24.37288888888887
adapted,payoff,Hc,17,0.4411764705882353,22.352941176470587,28.78841176470613
adapted,payoff,Hc,18,0.3611111111111111,20.444444444444443,25.640333333333313
adapted,payoff,Hc,19,0.4117647058823529,27,27.360294117647037
adapted,payoff,Hc,20,0.2638888888888889,22.52777777777778,25.867388888888946
adapted,payoff,Lc,1,0.43421052631578955,29.105263157894736,20.038499999999985
adapted,payoff,Lc,2,0.40277777777777785,28.52777777777778,21.090750000000007
adapted,payoff,Lc,3,0.3552631578947369,25.868421052631582,19.580999999999985
adapted,payoff,Lc,4,0.34722222222222215,29.944444444444443,25.108277777778074
adapted,payoff,Lc,5,0.421875,32.3125,33.93887500000015
adapted,payoff,Lc,6,0.4027777777777778,30.583333333333336,25.575944444444502
adapted,payoff,Lc,7,0.5,35.05555555555556,21.009416666666652
adapted,payoff,Lc,8,0.2361111111111111,25.36111111111111,24.34069444444445
adapted,payoff,Lc,9,0.2638888888888889,23.25,20.040194444444428
adapted,payoff,Lc,10,0.3194444444444444,26.38888888888889,21.858333333333317
adapted,payoff,Lc,11,0.22368421052631576,22.42105263157895,18.998289473684196
adapted,payoff,Lc,12,0.33333333333333337,26.583333333333332,20.762027777777764
adapted,payoff,Lc,13,0.3055555555555556,27.61111111111111,22.38191666666665
adapted,payoff,Lc,14,0.4027777777777778,29.36111111111111,22.181972222222207
adapted,payoff,Lc,15,0.41666666666666663,30.805555555555557,23.152888888889024
adapted,payoff,Lc,16,0.40277777777777785,29.583333333333336,20.589194444444427
adapted,payoff,Lc,17,0.3888888888888889,29.611111111111107,23.69341666666665
adapted,payoff,Lc,18,0.3611111111111111,29.88888888888889,24.483027777777842
adapted,payoff,Lc,19,0.3970588235294118,28.205882352941178,26.909970588235275
adapted,payoff,Lc,20,0.2361111111111111,23.22222222222222,23.2528611111111
original,baseline,Hc,1,0.38235294117647056,22.970588235294116,31.325294117647456
original,baseline,Hc,2,0.338235294117647,23.176470588235297,27.127058823529392
original,baseline,Hc,3,0.3970588235294118,26.88235294117647,27.9954117647059
original,baseline,Hc,4,0.4852941176470588,23.411764705882355,28.465470588235366
original,baseline,Hc,5,0.4722222222222222,21.36111111111111,25.545444444444424
original,baseline,Hc,6,0.4411764705882352,32.44117647058823,28.905029411764723
original,baseline,Hc,7,0.44117647058823517,29.94117647058824,31.244558823529548
original,baseline,Hc,8,0.48529411764705876,27.88235294117647,30.742205882353243
original,baseline,Hc,9,0.4117647058823529,23.94117647058824,30.087352941176793
original,baseline,Hc,10,0.4305555555555556,24.38888888888889,24.018749999999983
original,baseline,Hc,11,0.4117647058823529,23.176470588235293,27.90570588235296
original,baseline,Hc,12,0.5,30.833333333333336,25.237055555555536
original,baseline,Hc,13,0.3235294117647059,19.41176470588235,27.964911764705963
original,baseline,Hc,14,0.3529411764705882,24.970588235294116,33.07635294117665
original,baseline,Hc,15,0.4264705882352941,21.029411764705884,31.80791176470586
original,baseline,Hc,16,0.6323529411764706,33.35294117647059,26.73594117647057
original,baseline,Hc,17,0.359375,19.71875,38.76359375000073
original,baseline,Hc,18,0.4027777777777778,26.416666666666664,26.18763888888887
original,baseline,Hc,19,0.5147058823529411,32.73529411764706,30.011999999999993
original,baseline,Hc,20,0.19444444444444448,19.194444444444443,26.277444444444424
original,baseline,Lc,1,0.3529411764705882,29.61764705882353,28.169441176470635
original,baseline,Lc,2,0.4705882352941176,29.64705882352941,29.40200000000021
original,baseline,Lc,3,0.33333333333333337,30.02777777777778,23.154583333333314
original,baseline,Lc,4,0.45833333333333337,31.666666666666664,25.909749999999985
original,baseline,Lc,5,0.29411764705882354,27.38235294117647,31.095647058823506
original,baseline,Lc,6,0.6176470588235294,42.411764705882355,28.914000000000023
original,baseline,Lc,7,0.3055555555555556,27.88888888888889,26.272361111111092
original,baseline,Lc,8,0.1764705882352941,22.11764705882353,26.560117647058803
original,baseline,Lc,9,0.25,25.53125,35.19509375000037
original,baseline,Lc,10,0.4411764705882353,30.970588235294116,33.53564705882405
original,baseline,Lc,11,0.338235294117647,29.05882352941176,33.094294117647415
original,baseline,Lc,12,0.3382352941176471,29,29.283588235294093
original,baseline,Lc,13,0.5277777777777779,35.138888888888886,25.533583333333315
original,baseline,Lc,14,0.3235294117647059,28.323529411764703,27.05170588235292
original,baseline,Lc,15,0.5277777777777778,35.33333333333333,25.902972222222203
original,baseline,Lc,16,0.2647058823529412,26.029411764705884,31.78997058823569
original,baseline,Lc,17,0.4558823529411765,31.411764705882355,28.37755882352939
original,baseline,Lc,18,0.4861111111111111,34.97222222222222,26.263888888888868
original,baseline,Lc,19,0.390625,32.53125,35.41050000000042
original,baseline,Lc,20,0.4264705882352941,32.088235294117645,26.68570588235292
original,bonus,Hc,1,0.5,24.692307692307693,64.16965384615342
original,bonus,Hc,2,0.375,24.285714285714292,53.35539285714299
original,bonus,Hc,3,0.44642857142857145,25.71428571428571,56.904285714286104
original,bonus,Hc,4,0.42857142857142855,25.571428571428573,54.825928571428726
original,bonus,Hc,5,0.42857142857142855,28.428571428571427,56.48817857142868
original,bonus,Hc,6,0.42857142857142855,25.857142857142854,51.91535714285748
original,bonus,Hc,7,0.5178571428571429,28.5,52.584178571428716
original,bonus,Hc,8,0.3392857142857143,27.178571428571427,55.68428571428576
original,bonus,Hc,9,0.2884615384615385,20.115384615384617,65.52573076923169
original,bonus,Hc,10,0.28571428571428575,22.071428571428573,56.62325000000065
original,bonus,Hc,11,0.5,31.21428571428571,53.93707142857177
original,bonus,Hc,12,0.5178571428571429,27.5,53.85646428571464
original,bonus,Hc,13,0.42857142857142855,22.214285714285715,51.438250000000075
original,bonus,Hc,14,0.36666666666666664,23.033333333333335,51.20746666666682
original,bonus,Hc,15,0.45,27.866666666666667,52.293266666667016
original,bonus,Hc,16,0.375,22.464285714285715,55.38364285714298
original,bonus,Hc,17,0.4821428571428571,34.17857142857143,55.57753571428581
original,bonus,Hc,18,0.5892857142857143,31.857142857142854,57.950000000000166
original,bonus,Hc,19,0.32142857142857145,24.035714285714285,59.59482142857197
original,bonus,Hc,20,0.33928571428571425,26.071428571428573,59.65364285714296
original,bonus,Lc,1,0.43333333333333335,33.4,53.106600000000185
original,bonus,Lc,2,0.44642857142857145,32.07142857142857,54.801964285714654
original,bonus,Lc,3,0.44642857142857145,31.142857142857142,57.27682142857193
original,bonus,Lc,4,0.3392857142857143,27.071428571428573,60.39000000000023
original,bonus,Lc,5,0.41071428571428575,30.071428571428573,59.08939285714334
