Subject,Round,Phase,afterbreak,Schema,Schema_RT,Schema_OB,Schema_AS,Cho_1,Cho_2,Cho_3,Cho_4,RT_1,RT_2,RT_3,RT_4,OB_1,OB_2,OB_3,OB_4,AS_1,AS_2,AS_3,AS_4,schema_payoff,AC,performance,payoff,breakR,type,dwellmean_1,dwellmean_2,dwellmean_3,dwellmean_4,agent,model,risk,run
1,6,12,1,8,8.783999999999994,18,55,112,4,11,117,10.369999999999992,11.589999999999991,3.2329999999999974,1.0979999999999994,20,19,12,5,62,57,19,5,2,0,16,4,6,Lc,0.16725806451612904,0.2033333333333333,0.1701578947368421,0.2196,baseline,original,Lc,1
1,7,13,1,9,12.07799999999999,16,55,63,8,66,93,13.785999999999989,1.2199999999999993,3.903999999999997,4.147999999999997,19,2,13,9,59,3,19,15,4,0,17,4.25,6,Lc,0.2336610169491525,0.40666666666666657,0.2054736842105263,0.27653333333333324,baseline,original,Lc,1
1,7,14,1,3,8.783999999999994,19,46,27,26,35,15,13.236999999999991,1.8299999999999987,1.7689999999999988,2.2569999999999983,20,8,8,5,65,9,8,6,5,0.5,36,5.25,6,Lc,0.20364615384615384,0.2033333333333333,0.221125,0.3761666666666666,baseline,original,Lc,1
1,8,15,1,9,7.563999999999994,15,41,63,67,6,70,9.271999999999993,3.781999999999997,6.404999999999995,10.918999999999992,19,10,12,15,45,19,21,46,4,0.5,30,4.5,6,Lc,0.20604444444444442,0.19905263157894737,0.305,0.23736956521739125,baseline,original,Lc,1
1,8,16,1,3,7.807999999999994,18,37,35,30,25,60,9.576999999999993,2.0129999999999986,3.3549999999999973,23.97299999999998,20,4,12,17,48,4,16,94,5,0.5,34,4.75,6,Lc,0.19952083333333331,0.5032499999999998,0.20968749999999997,0.255031914893617,baseline,original,Lc,1
1,9,17,1,5,6.709999999999995,13,31,40,43,85,104,13.17599999999999,4.391999999999997,4.025999999999997,7.685999999999994,20,13,16,16,58,18,22,34,5,0,15,3.75,6,Lc,0.22717241379310343,0.244,0.183,0.22605882352941176,baseline,original,Lc,1
1,9,18,1,3,11.650999999999991,10,57,27,32,29,28,12.26099999999999,2.0129999999999986,0.9759999999999995,10.613999999999992,12,10,2,17,59,11,3,43,5,1,60,5,6,Lc,0.2078135593220339,0.183,0.3253333333333333,0.24683720930232556,baseline,original,Lc,1
1,10,19,1,6,6.648999999999995,13,31,6,8,1,5,9.393999999999993,1.2809999999999993,1.8909999999999987,6.709999999999995,20,7,8,16,43,8,9,33,6,1,72,6,6,Lc,0.21846511627906975,0.160125,0.2101111111111111,0.20333333333333334,baseline,original,Lc,1
1,10,20,1,9,3.903999999999997,14,25,14,95,92,70,47.21399999999996,0.061,0.488,0.122,20,1,3,2,216,1,3,2,4,0,16,4,6,Lc,0.2185833333333333,0.061,0.16266666666666665,0.061,baseline,original,Lc,1
1,11,21,1,2,5.001999999999996,12,28,56,49,16,97,9.393999999999993,8.722999999999994,21.776999999999983,1.3419999999999992,20,18,17,5,39,36,81,5,4,0,16,4,6,Lc,0.24087179487179483,0.24230555555555552,0.26885185185185184,0.26839999999999997,baseline,original,Lc,1
