strategy,type,mean_AC,se_AC,mean_RT,se_RT,mean_performance,se_performance,n_trials
baseline,Hc,0.3598265895953757,0.01918844123640104,28.443806358381547,0.9313158531956799,23.641618497109825,0.9267444791279043,346
baseline,Lc,0.3598265895953757,0.01918844123640104,28.443806358381547,0.9313158531956799,28.947976878612717,0.9095707528145336,346
bonus_oriented,Hc,0.4185725552050473,0.0075960084041485805,56.52388446372275,0.7403267708286658,26.03706624605678,0.3733792110657477,2536
bonus_oriented,Lc,0.4185725552050473,0.0075960084041485805,56.52388446372275,0.7403267708286658,31.11908517350158,0.35610806290119856,2536
payoff_oriented,Hc,0.315676668707899,0.0060128940095167446,22.009700244947975,0.37990302691318373,21.497856705450094,0.25560627030401256,3266
payoff_oriented,Lc,0.315676668707899,0.0060128940095167446,22.009700244947975,0.37990302691318373,26.65003061849357,0.264363562903959,3266
