metric,term,estimate,std_error,t_value,p_value
performance,strategybonus_oriented:riskHc,0.8372785698451941,5.0182879938857665,0.16684546021777272,0.8675395575164367
performance,riskHc:thres_schema,-0.07392815170939458,0.1028288768306351,-0.7189434912447636,0.47241429652362277
performance,riskHc:thres_item_final,0.028494267059057762,0.13006938400868895,0.21906974709093938,0.8266592126993485
performance,strategybonus_oriented:riskHc:modeladapted,11.935251735724702,7.096930940847414,1.6817483268760067,0.09306114211948878
AC,strategybonus_oriented:riskHc,-3.6520294636550384e-16,0.12234821265838251,-2.9849471310644643e-15,0.9999999999999976
AC,riskHc:thres_schema,8.165658612015797e-17,0.0025070161985971404,3.2571223977671476e-14,0.999999999999974
AC,riskHc:thres_item_final,-3.917485959993731e-17,0.0031711525274015877,-1.2353508467798873e-14,0.9999999999999902
AC,strategybonus_oriented:riskHc:modeladapted,0.28975319113625897,0.17302650167359435,1.6746174044648001,0.09445344898912286
RT,strategybonus_oriented:riskHc,8.380991151220233e-13,13.320184311322238,6.291948335952333e-14,0.9999999999999498
RT,riskHc:thres_schema,-1.567689261029436e-14,0.27294160749226454,-5.743680032637992e-14,0.9999999999999543
RT,riskHc:thres_item_final,-1.2954466228087891e-14,0.34524685916129283,-3.7522328978048164e-14,0.99999999999997
RT,strategybonus_oriented:riskHc:modeladapted,-4.681295402130072,18.837585306381477,-0.2485082523047273,0.8038136598531905
