model,metric,Lc,Hc,DoD_Hc_minus_Lc
original,AC (bonus - payoff),0.11173177281858912,0.11173177281858912,0
original,Performance (bonus - payoff),4.116879244575323,4.032017701105033,-0.08486154347028929
original,RT (bonus - payoff),31.8170020658958,31.8170020658958,0
adapted,AC (bonus - payoff),0.09533778671162572,0.11173177281858912,0.016393986106963396
adapted,Performance (bonus - payoff),4.135543096155839,4.032017701105033,-0.10352539505080571
adapted,RT (bonus - payoff),31.175001808242246,31.8170020658958,0.6420002576535531
