model,metric,estimate,p_value
original,performance,-0.08486154347028914,0.9251255884818782
original,AC,5.936579008411066e-17,0.9999999999999978
original,RT,-3.310322171342577e-15,0.9999999999999988
adapted,performance,-0.10352539505080835,0.9088658399894687
adapted,AC,0.016393986106963496,0.43292247131204953
adapted,RT,0.6420002576535476,0.6980115272004471
