model,risk,strategy,AC_mean,AC_se,perf_mean,perf_se,RT_mean,RT_se
original,Lc,payoff_oriented,0.3082997697129534,0.010871545431482527,26.6342501815541,0.4301087059510843,23.962356877938454,1.6223113256994492
original,Lc,bonus_oriented,0.4200315425315425,0.010117611387673787,30.751129426129427,0.4585092171595502,55.779358943834254,0.8908522922189314
original,Hc,payoff_oriented,0.3082997697129534,0.010871545431482527,21.389404765317433,0.3624313614251261,23.962356877938454,1.6223113256994492
original,Hc,bonus_oriented,0.4200315425315425,0.010117611387673787,25.421422466422467,0.4829791070284179,55.779358943834254,0.8908522922189314
adapted,Lc,payoff_oriented,0.31176144507510606,0.010416841642539431,26.62958968772694,0.40475298988289216,21.294392148310678,0.4801694250707004
adapted,Lc,bonus_oriented,0.4070992317867318,0.011732397604011926,30.765132783882784,0.48697443118056377,52.46939395655293,0.7051288194874981
adapted,Hc,payoff_oriented,0.3082997697129534,0.010871545431482527,21.389404765317433,0.3624313614251261,23.962356877938454,1.6223113256994492
adapted,Hc,bonus_oriented,0.4200315425315425,0.010117611387673787,25.421422466422467,0.4829791070284179,55.779358943834254,0.8908522922189314
