model,risk,metric,mean_gap,se_gap
original,Lc,AC (bonus - payoff),0.11173177281858912,0.010753283467534543
original,Lc,Performance (bonus - payoff),4.116879244575323,0.45550204236514624
original,Lc,RT (bonus - payoff),31.8170020658958,1.4660894621958644
original,Hc,AC (bonus - payoff),0.11173177281858912,0.010753283467534543
original,Hc,Performance (bonus - payoff),4.032017701105033,0.5214063499774518
original,Hc,RT (bonus - payoff),31.8170020658958,1.4660894621958644
adapted,Lc,AC (bonus - payoff),0.09533778671162572,0.014584369815765816
adapted,Lc,Performance (bonus - payoff),4.13554309615584,0.6021754811329522
adapted,Lc,RT (bonus - payoff),31.175001808242246,0.5761042542537801
adapted,Hc,AC (bonus - payoff),0.11173177281858912,0.010753283467534543
adapted,Hc,Performance (bonus - payoff),4.032017701105033,0.5214063499774518
adapted,Hc,RT (bonus - payoff),31.8170020658958,1.4660894621958644
