model,metric,estimate,p_value
original,performance,-0.0848615434702899,0.9225012457703801
original,AC,-5.4621888085610776e-17,0.999999999999998
original,RT,-1.5956804872667055e-14,0.9999999999999951
adapted,performance,-0.10352539505080913,0.9058831367005309
adapted,AC,0.01639398610696332,0.4484421828189328
adapted,RT,0.6420002576535381,0.752930256841971
