strategy,combo_id,thres_schema,thres_item_final,risk_effect_perf_original,risk_effect_perf_adapted,risk_effect_AC_original,risk_effect_AC_adapted,risk_effect_RT_original,risk_effect_RT_adapted,dod_perf,dod_AC,dod_RT
bonus_oriented,1,40,40,-5.123571428571427,-2.3598511904761885,0,0.0636011904761905,0,3.4771016666666483,2.763720238095239,0.0636011904761905,3.4771016666666483
bonus_oriented,2,45,40,-5.428571428571427,-1.541875000000001,0,0.09569940476190475,0,2.417163125000016,3.886696428571426,0.09569940476190475,2.417163125000016
bonus_oriented,3,50,40,-5.90642857142857,-5.984761904761903,0,0.018690476190476146,0,-1.728180833333596,-0.07833333333333314,0.018690476190476146,-1.728180833333596
bonus_oriented,4,40,45,-5.260274725274726,-6.503663003663004,0,0.010915750915750921,0,5.051604395605402,-1.2433882783882773,0.010915750915750921,5.051604395605402
bonus_oriented,5,45,45,-5.602747252747253,-8.608754578754578,0,-0.0632692307692308,0,6.554863369963414,-3.0060073260073246,-0.0632692307692308,6.554863369963414
bonus_oriented,6,50,45,-5.437252747252746,-5.461025641025639,0,0.01526785714285711,0,7.2879036378204916,-0.023772893772893156,0.01526785714285711,7.2879036378204916
bonus_oriented,7,40,50,-5.099999999999998,-2.404120879120878,0,0.09052197802197803,0,-0.36018489011001265,2.6958791208791197,0.09052197802197803,-0.36018489011001265
bonus_oriented,8,45,50,-5.479120879120877,-8.048021978021978,0,-0.04388278388278394,0,1.5420174358972716,-2.568901098901101,-0.04388278388278394,1.5420174358972716
bonus_oriented,9,50,50,-4.629395604395604,-7.1813186813186825,0,-0.07115384615384612,0,5.547396978022313,-2.551923076923078,-0.07115384615384612,5.547396978022313
payoff_oriented,10,15,10,-4.437993421052628,-1.8688998538011674,0,0.06634868421052631,0,2.403727518274735,2.5690935672514605,0.06634868421052631,2.403727518274735
payoff_oriented,11,20,10,-5.397368421052633,-4.807894736842105,0,-0.015423976608187118,0,0.06726944444437422,0.5894736842105281,-0.015423976608187118,0.06726944444437422
payoff_oriented,12,25,10,-6.068333333333335,-7.505687994496046,0,-0.03610423116615069,0,0.5068841898864704,-1.4373546611627113,-0.03610423116615069,0.5068841898864704
payoff_oriented,13,15,12.5,-4.278070175438597,-6.0244100447196445,0,-0.06706054351565188,0,-2.1441846233233086,-1.746339869281048,-0.06706054351565188,-2.1441846233233086
payoff_oriented,14,20,12.5,-5.15657894736842,-6.710818713450291,0,-0.018201754385964886,0,0.7879255847952962,-1.5542397660818708,-0.018201754385964886,0.7879255847952962
payoff_oriented,15,25,12.5,-5.598529411764705,-6.196732026143792,0,-8.169934640522847e-5,0,0.39831405228758854,-0.5982026143790868,-8.169934640522847e-5,0.39831405228758854
payoff_oriented,16,15,15,-4.743556501547985,-3.4833612831097334,0,0.02700163398692812,0,17.76960341309835,1.2601952184382519,0.02700163398692812,17.76960341309835
payoff_oriented,17,20,15,-5.783962848297218,-5.319578603371173,0,0.008036743206054353,0,2.3666465819577027,0.4643842449260447,0.008036743206054353,2.3666465819577027
payoff_oriented,18,25,15,-5.739215686274509,-5.2442810457516345,0,0.004330065359477164,0,1.8554964052287666,0.4949346405228745,0.004330065359477164,1.8554964052287666
