model,metric,estimate,p_value
original,performance,-1.10936326392906,0.33440861949675094
original,AC,5.857798553244536e-18,0.9999999999999998
original,RT,9.102071599483796e-15,0.9999999999999944
adapted,performance,-0.7686648609388623,0.5301964774718279
adapted,AC,0.007634746509939946,0.780035731785305
adapted,RT,-1.728710066293458,0.24411392030818155
