model,metric,term,estimate,std_error,t_value,p_value
original,performance,strategybonus:riskHc,0.15320715060653017,1.601737304998725,0.09565061020205941,0.9240498312791136
original,AC,strategybonus:riskHc,-0.008178355012720281,0.03606391441696557,-0.22677391361801072,0.821208409656951
original,RT,strategybonus:riskHc,0.28140717480901883,1.8971146890769695,0.1483342975673948,0.8824718156058498
adapted,performance,strategybonus:riskHc,-3.1527744252221868,1.8677508463221966,-1.6880058876323578,0.09550997720480574
adapted,AC,strategybonus:riskHc,-0.07964363890108857,0.04220986590327038,-1.8868488965021293,0.0629997602727619
adapted,RT,strategybonus:riskHc,-1.7667837143720233,2.8484839391441663,-0.6202540551809668,0.5369459995458792
