model,risk,strategy,n,perf_mean,perf_se,AC_mean,AC_se,RT_mean,RT_se
original,Lc,payoff,20,29.127536979704164,0.5397911852353015,0.3957150842793258,0.013640039989428997,22.83821167010659,0.7969444751145314
original,Lc,bonus,20,30.78349816849817,1.0407234952708162,0.40687271062271063,0.01927037710044859,56.221311950549754,1.3597582148616134
original,Hc,payoff,20,24.333359133126933,0.7449263469358783,0.41745571035431717,0.01993961868068658,22.283912727898255,0.5871286974345769
original,Hc,bonus,20,26.142527472527473,0.7976009118593765,0.42043498168498167,0.01859084197760595,55.94842018315042,0.8776452226618455
adapted,Lc,payoff,20,28.18454484864121,0.7087131203910771,0.35757680813553494,0.016668622307421117,22.949377586429335,0.7549099654884845
adapted,Lc,bonus,20,31.899404761904762,1.1467505328841179,0.44755411255411254,0.02477721664891766,58.349937521645764,2.3343115048203886
adapted,Hc,payoff,20,23.848161764705882,0.8528271915009846,0.3861315359477124,0.01896607132164754,26.316085876225593,0.9433439469139586
adapted,Hc,bonus,20,24.41024725274725,0.9715286581925201,0.3964652014652015,0.023026234683494972,59.949862097069996,1.097753930465477
