model,strategy,combo_id,thres_schema,thres_item_final,risk,run,AC,performance,RT
adapted,bonus_oriented,1,50,45,Hc,1,0.3571428571428571,24.357142857142858,56.13960714285747
adapted,bonus_oriented,1,50,45,Hc,2,0.4464285714285714,31.142857142857142,58.899857142857876
adapted,bonus_oriented,1,50,45,Hc,3,0.33928571428571425,25.321428571428573,60.0240000000006
adapted,bonus_oriented,1,50,45,Hc,4,0.30357142857142855,21.071428571428573,55.44246428571439
adapted,bonus_oriented,1,50,45,Hc,5,0.5178571428571429,27.46428571428571,55.852035714285854
adapted,bonus_oriented,1,50,45,Hc,6,0.36666666666666664,20.666666666666668,50.54053333333333
adapted,bonus_oriented,1,50,45,Hc,7,0.4107142857142858,27.071428571428573,54.233357142857166
adapted,bonus_oriented,1,50,45,Hc,8,0.5892857142857142,30.571428571428573,54.52528571428601
adapted,bonus_oriented,1,50,45,Hc,9,0.3928571428571429,29.428571428571427,55.39453571428577
adapted,bonus_oriented,1,50,45,Hc,10,0.4,22.5,47.970399999999984
adapted,bonus_oriented,1,50,45,Hc,11,0.44642857142857145,25.821428571428573,54.60807142857167
adapted,bonus_oriented,1,50,45,Hc,12,0.44642857142857145,29.5,57.494678571429404
adapted,bonus_oriented,1,50,45,Hc,13,0.40384615384615385,27.307692307692307,63.44469230769266
adapted,bonus_oriented,1,50,45,Hc,14,0.36666666666666664,21,51.81136666666684
adapted,bonus_oriented,1,50,45,Hc,15,0.44642857142857145,25.714285714285715,53.15060714285713
adapted,bonus_oriented,1,50,45,Hc,16,0.35714285714285715,18.035714285714285,55.92828571428576
adapted,bonus_oriented,1,50,45,Hc,17,0.3076923076923077,19.923076923076923,64.81250000000084
adapted,bonus_oriented,1,50,45,Hc,18,0.44230769230769224,30.076923076923073,62.78542307692371
adapted,bonus_oriented,1,50,45,Hc,19,0.2884615384615385,20.46153846153846,62.975461538461886
adapted,bonus_oriented,1,50,45,Hc,20,0.3928571428571429,22.928571428571427,55.62328571428585
adapted,bonus_oriented,1,50,45,Hc,21,0.40384615384615385,27.153846153846153,70.39869230769378
adapted,bonus_oriented,1,50,45,Hc,22,0.3928571428571429,26.821428571428573,56.1221785714287
adapted,bonus_oriented,1,50,45,Hc,23,0.35714285714285715,22,57.89989285714294
adapted,bonus_oriented,1,50,45,Hc,24,0.4821428571428571,27.035714285714285,58.29203571428585
adapted,bonus_oriented,1,50,45,Hc,25,0.4821428571428571,27.928571428571427,54.24425000000019
adapted,bonus_oriented,1,50,45,Hc,26,0.5178571428571429,28.857142857142854,52.743214285714316
adapted,bonus_oriented,1,50,45,Hc,27,0.44642857142857145,27.607142857142854,53.46650000000019
adapted,bonus_oriented,1,50,45,Hc,28,0.375,22.142857142857142,55.455535714286206
adapted,bonus_oriented,1,50,45,Hc,29,0.35714285714285715,21.642857142857142,59.607892857143085
adapted,bonus_oriented,1,50,45,Hc,30,0.5,30.821428571428573,52.70617857142854
adapted,bonus_oriented,1,50,45,Hc,31,0.3571428571428571,27.53571428571429,58.47939285714338
adapted,bonus_oriented,1,50,45,Hc,32,0.4821428571428571,27.964285714285715,53.84557142857168
adapted,bonus_oriented,1,50,45,Hc,33,0.44642857142857145,25.535714285714285,51.76285714285717
adapted,bonus_oriented,1,50,45,Hc,34,0.4833333333333333,31.5,48.27336666666675
adapted,bonus_oriented,1,50,45,Hc,35,0.5178571428571429,29.21428571428571,52.26392857142853
adapted,bonus_oriented,1,50,45,Hc,36,0.30357142857142855,17.25,54.19850000000023
adapted,bonus_oriented,1,50,45,Hc,37,0.25,21.071428571428573,58.65367857142895
adapted,bonus_oriented,1,50,45,Hc,38,0.30357142857142855,20.78571428571429,57.91296428571445
adapted,bonus_oriented,1,50,45,Hc,39,0.3571428571428571,27.714285714285715,55.344428571428836
adapted,bonus_oriented,1,50,45,Hc,40,0.4666666666666666,27.166666666666664,49.10906666666694
adapted,bonus_oriented,1,50,45,Hc,41,0.3571428571428571,23.392857142857146,59.058892857143555
adapted,bonus_oriented,1,50,45,Hc,42,0.5178571428571429,29.107142857142854,56.5731428571429
adapted,bonus_oriented,1,50,45,Hc,43,0.5,21.928571428571427,56.59274999999996
adapted,bonus_oriented,1,50,45,Hc,44,0.35714285714285715,22.464285714285715,54.612428571428765
adapted,bonus_oriented,1,50,45,Hc,45,0.6666666666666667,36.4,53.45633333333394
adapted,bonus_oriented,1,50,45,Hc,46,0.375,24.535714285714285,55.821535714285716
adapted,bonus_oriented,1,50,45,Hc,47,0.33928571428571425,26.035714285714285,62.45092857142902
adapted,bonus_oriented,1,50,45,Hc,48,0.25,18.576923076923077,63.803653846154305
adapted,bonus_oriented,1,50,45,Hc,49,0.6785714285714286,38.42857142857143,51.46657142857139
adapted,bonus_oriented,1,50,45,Hc,50,0.3499999999999999,24.333333333333336,51.35793333333329
adapted,bonus_oriented,1,50,45,Lc,1,0.4107142857142857,29.964285714285715,52.12667857142868
adapted,bonus_oriented,1,50,45,Lc,2,0.44999999999999996,34.13333333333333,51.508400000000506
adapted,bonus_oriented,1,50,45,Lc,3,0.32142857142857145,22.964285714285715,51.84999999999996
adapted,bonus_oriented,1,50,45,Lc,4,0.41071428571428575,32.714285714285715,59.13732142857243
adapted,bonus_oriented,1,50,45,Lc,5,0.28571428571428575,26.892857142857146,55.77142857142858
adapted,bonus_oriented,1,50,45,Lc,6,0.33333333333333337,24.466666666666665,45.19896666666663
adapted,bonus_oriented,1,50,45,Lc,7,0.4821428571428571,34.96428571428571,52.1375714285717
adapted,bonus_oriented,1,50,45,Lc,8,0.4464285714285714,32.5,52.75846428571455
adapted,bonus_oriented,1,50,45,Lc,9,0.6666666666666666,46.233333333333334,49.5462333333333
adapted,bonus_oriented,1,50,45,Lc,10,0.65,41.36666666666667,49.20056666666677
adapted,bonus_oriented,1,50,45,Lc,11,0.42857142857142855,32.07142857142857,53.030785714286175
adapted,bonus_oriented,1,50,45,Lc,12,0.4807692307692307,35.57692307692308,72.78003846153928
adapted,bonus_oriented,1,50,45,Lc,13,0.5357142857142857,39.285714285714285,52.30967857142917
adapted,bonus_oriented,1,50,45,Lc,14,0.4821428571428571,35.714285714285715,52.394642857142934
adapted,bonus_oriented,1,50,45,Lc,15,0.44642857142857145,28.964285714285715,59.784357142858006
adapted,bonus_oriented,1,50,45,Lc,16,0.44642857142857145,28.892857142857142,54.52528571428597
adapted,bonus_oriented,1,50,45,Lc,17,0.4821428571428571,32.535714285714285,55.87164285714284
adapted,bonus_oriented,1,50,45,Lc,18,0.6166666666666667,39.6,49.674333333333294
adapted,bonus_oriented,1,50,45,Lc,19,0.5535714285714286,34.67857142857143,58.26589285714343
adapted,bonus_oriented,1,50,45,Lc,20,0.43333333333333335,27.800000000000004,48.24490000000008
adapted,bonus_oriented,1,50,45,Lc,21,0.6833333333333333,39.266666666666666,51.99639999999997
adapted,bonus_oriented,1,50,45,Lc,22,0.3392857142857143,27.392857142857146,60.716785714285685
adapted,bonus_oriented,1,50,45,Lc,23,0.35,28.133333333333333,47.669466666666644
adapted,bonus_oriented,1,50,45,Lc,24,0.45,28.533333333333335,51.571433333334056
adapted,bonus_oriented,1,50,45,Lc,25,0.41071428571428575,28.75,57.63846428571424
adapted,bonus_oriented,1,50,45,Lc,26,0.6166666666666667,39.86666666666667,51.111900000000176
adapted,bonus_oriented,1,50,45,Lc,27,0.6833333333333333,46.13333333333333,46.33356666666666
adapted,bonus_oriented,1,50,45,Lc,28,0.33333333333333337,26.3,45.83946666666663
adapted,bonus_oriented,1,50,45,Lc,29,0.44642857142857145,33.535714285714285,57.84978571428589
adapted,bonus_oriented,1,50,45,Lc,30,0.43333333333333324,34.233333333333334,46.87240000000003
adapted,bonus_oriented,1,50,45,Lc,31,0.44642857142857145,30.785714285714285,53.00028571428573
adapted,bonus_oriented,1,50,45,Lc,32,0.6833333333333333,42.766666666666666,50.04236666666684
adapted,bonus_oriented,1,50,45,Lc,33,0.4,29.9,43.76546666666663
adapted,bonus_oriented,1,50,45,Lc,34,0.375,30.857142857142858,55.10696428571424
adapted,bonus_oriented,1,50,45,Lc,35,0.3571428571428571,30.892857142857142,56.592750000000095
adapted,bonus_oriented,1,50,45,Lc,36,0.25,26.357142857142854,51.608178571428574
adapted,bonus_oriented,1,50,45,Lc,37,0.36666666666666664,29.366666666666667,44.21686666666663
adapted,bonus_oriented,1,50,45,Lc,38,0.3928571428571429,30.464285714285715,53.74753571428576
adapted,bonus_oriented,1,50,45,Lc,39,0.3214285714285714,25.142857142857146,53.985000000000284
adapted,bonus_oriented,1,50,45,Lc,40,0.26666666666666666,22.633333333333333,51.06309999999999
adapted,bonus_oriented,1,50,45,Lc,41,0.4821428571428571,30.892857142857146,58.62971428571454
adapted,bonus_oriented,1,50,45,Lc,42,0.46666666666666656,35.03333333333333,47.124533333333446
adapted,bonus_oriented,1,50,45,Lc,43,0.375,30.607142857142854,59.65800000000089
adapted,bonus_oriented,1,50,45,Lc,44,0.2678571428571429,26.464285714285715,53.90003571428624
adapted,bonus_oriented,1,50,45,Lc,45,0.25,29.045454545454547,90.92881818182553
adapted,bonus_oriented,1,50,45,Lc,46,0.375,29.892857142857146,57.26810714285739
adapted,bonus_oriented,1,50,45,Lc,47,0.4642857142857142,33.82142857142857,54.74967857142881
adapted,bonus_oriented,1,50,45,Lc,48,0.4,30.233333333333334,47.521033333333335
adapted,bonus_oriented,1,50,45,Lc,49,0.4107142857142857,32.392857142857146,55.69735714285721
